city,year_month,avg_aqi,max_aqi,good_rate,avg_pm25,avg_pm10,avg_so2,avg_no2
??,2025-11,113.72,99,0.0701,70.44,119.35,12.6,24.82
??,2025-12,121.48,147,0.0027,75.32,127.6,11.22,26.45
??,2025-01,67.01,87,1.0,41.56,70.33,7.86,15.01
??,2025-02,64.69,85,1.0,40.1,67.97,8.68,14.51
??,2025-03,58.72,80,1.0,36.42,61.61,6.2,13.26
??,2025-04,50.89,73,1.0,31.52,53.46,6.56,11.65
??,2025-05,42.45,62,1.0,26.32,44.59,6.9,9.97
??,2025-06,36.28,57,1.0,22.54,38.04,4.4,8.92
??,2025-07,34.31,54,1.0,21.27,36.01,5.24,8.65
??,2025-08,36.23,58,1.0,22.47,38.03,6.4,8.95
??,2025-09,42.47,63,1.0,26.29,44.69,4.9,10.0
??,2025-10,50.66,74,1.0,31.42,53.18,6.54,11.59
??,2025-11,58.59,81,1.0,36.34,61.44,8.18,13.24
??,2025-12,64.93,86,1.0,40.23,68.21,6.71,14.59
??,2025-01,77.34,99,1.0,47.95,81.2,8.69,17.18
??,2025-02,74.81,98,1.0,46.37,78.58,9.48,16.65
??,2025-03,68.13,93,1.0,42.25,71.53,6.95,15.25
??,2025-04,59.4,83,1.0,36.83,62.38,7.26,13.4
??,2025-05,50.13,74,1.0,31.09,52.62,7.51,11.48
??,2025-06,43.38,68,1.0,26.88,45.57,4.98,10.17
??,2025-07,41.05,63,1.0,25.46,43.09,5.78,9.74
??,2025-08,43.19,66,1.0,26.77,45.34,6.96,10.16
??,2025-09,50.13,75,1.0,31.07,52.67,5.52,11.47
??,2025-10,59.28,85,1.0,36.73,62.26,7.24,13.39
??,2025-11,67.95,92,1.0,42.15,71.32,8.94,15.18
??,2025-12,75.01,98,1.0,46.48,78.79,7.5,16.69
??,2025-01,99.44,99,0.5504,61.66,104.42,10.46,21.83
??,2025-02,96.83,99,0.6659,60.04,101.67,11.24,21.27
??,2025-03,89.93,99,0.8918,55.76,94.42,8.69,19.81
??,2025-04,80.8,99,0.9938,50.11,84.82,8.95,17.89
??,2025-05,71.19,96,1.0,44.13,74.73,9.19,15.89
??,2025-06,64.14,89,1.0,39.76,67.36,6.63,14.41
??,2025-07,61.75,85,1.0,38.29,64.85,7.44,13.89
??,2025-08,63.95,88,1.0,39.65,67.12,8.62,14.36
??,2025-09,71.2,96,1.0,44.12,74.78,7.2,15.88
??,2025-10,80.66,99,0.9953,50.0,84.69,8.95,17.87
??,2025-11,89.71,99,0.891,55.65,94.17,10.67,19.78
??,2025-12,97.03,99,0.6579,60.16,101.92,9.26,21.32
??,2025-01,76.22,96,1.0,47.26,80.05,8.6,16.91
??,2025-02,73.91,95,1.0,45.81,77.61,9.41,16.44
??,2025-03,67.89,90,1.0,42.09,71.27,6.94,15.19
??,2025-04,59.99,83,1.0,37.19,63.0,7.3,13.52
??,2025-05,51.71,74,1.0,32.04,54.28,7.63,11.8
??,2025-06,45.53,67,1.0,28.24,47.82,5.15,10.51
??,2025-07,43.47,64,1.0,26.94,45.67,5.99,10.08
??,2025-08,45.38,66,1.0,28.15,47.6,7.14,10.48
??,2025-09,51.66,73,1.0,32.02,54.28,5.63,11.79
??,2025-10,59.91,83,1.0,37.15,62.93,7.29,13.51
??,2025-11,67.75,91,1.0,42.03,71.09,8.93,15.15
??,2025-12,74.06,95,1.0,45.9,77.78,7.42,16.48
??,2025-01,56.04,73,1.0,34.72,58.83,6.98,12.69
??,2025-02,54.09,72,1.0,33.54,56.79,7.83,12.3
??,2025-03,49.02,67,1.0,30.41,51.43,5.41,11.23
??,2025-04,42.3,60,1.0,26.23,44.41,5.9,9.85
??,2025-05,35.22,53,1.0,21.84,36.97,6.31,8.56
??,2025-06,30.07,49,1.0,18.63,31.6,3.9,7.78
??,2025-07,28.3,45,1.0,17.56,29.74,4.76,7.56
??,2025-08,29.93,48,1.0,18.55,31.44,5.88,7.77
??,2025-09,35.23,55,1.0,21.83,37.01,4.31,8.55
??,2025-10,42.23,60,1.0,26.17,44.33,5.89,9.83
??,2025-11,48.82,68,1.0,30.28,51.26,7.4,11.19
??,2025-12,54.27,72,1.0,33.63,56.96,5.84,12.33
??,2025-01,52.12,68,1.0,32.32,54.72,6.67,11.88
??,2025-02,50.2,68,1.0,31.13,52.69,7.52,11.49
??,2025-03,45.1,64,1.0,27.96,47.35,5.13,10.4
??,2025-04,38.4,58,1.0,23.8,40.32,5.58,9.02
??,2025-05,31.34,50,1.0,19.43,32.91,6.0,7.82
??,2025-06,26.35,45,1.0,16.33,27.66,3.59,7.19
??,2025-07,24.76,41,1.0,15.35,26.02,4.46,7.05
??,2025-08,26.2,44,1.0,16.26,27.47,5.58,7.19
??,2025-09,31.34,50,1.0,19.43,32.93,4.0,7.81
??,2025-10,38.31,58,1.0,23.75,40.21,5.56,9.02
??,2025-11,44.97,64,1.0,27.9,47.2,7.11,10.37
??,2025-12,50.33,68,1.0,31.18,52.85,5.52,11.51
??,2025-01,87.6,99,0.9765,54.33,91.99,9.5,19.32
??,2025-02,85.4,99,0.994,52.93,89.64,10.31,18.86
??,2025-03,79.87,99,0.9987,49.55,83.88,7.88,17.69
??,2025-04,72.4,92,1.0,44.88,76.0,8.29,16.13
??,2025-05,64.67,85,1.0,40.11,67.91,8.68,14.53
??,2025-06,58.9,76,1.0,36.51,61.88,6.21,13.32
??,2025-07,56.99,76,1.0,35.32,59.83,7.06,12.91
??,2025-08,58.75,77,1.0,36.46,61.69,8.18,13.25
??,2025-09,64.63,84,1.0,40.03,67.84,6.69,14.51
??,2025-10,72.36,93,1.0,44.88,76.0,8.3,16.13
??,2025-11,79.64,99,1.0,49.37,83.59,9.87,17.66
??,2025-12,85.63,99,0.9892,53.08,89.93,8.34,18.9
??,2025-01,46.31,65,1.0,28.73,48.67,6.22,10.65
??,2025-02,44.16,64,1.0,27.37,46.36,7.03,10.2
??,2025-03,38.5,58,1.0,23.86,40.41,4.58,9.06
??,2025-04,31.22,50,1.0,19.38,32.82,4.99,7.76
??,2025-05,24.18,44,1.0,14.99,25.36,5.37,6.99
??,2025-06,20.46,36,1.0,12.67,21.5,2.97,6.78
??,2025-07,19.67,34,1.0,12.21,20.68,3.85,6.72
??,2025-08,20.42,36,1.0,12.66,21.4,4.95,6.77
??,2025-09,24.15,43,1.0,14.98,25.4,3.38,6.99
??,2025-10,31.1,53,1.0,19.28,32.65,4.98,7.75
??,2025-11,38.38,60,1.0,23.8,40.26,6.56,9.02
??,2025-12,44.35,62,1.0,27.5,46.61,5.05,10.23
??,2025-01,72.53,92,1.0,44.96,76.16,8.3,16.14
??,2025-02,70.23,92,1.0,43.54,73.76,9.12,15.69
??,2025-03,64.24,85,1.0,39.84,67.44,6.64,14.42
??,2025-04,56.3,79,1.0,34.92,59.13,6.99,12.76
??,2025-05,48.01,70,1.0,29.75,50.4,7.34,11.0
??,2025-06,41.87,63,1.0,25.98,43.95,4.86,9.73
??,2025-07,39.77,60,1.0,24.66,41.79,5.69,9.33
??,2025-08,41.71,63,1.0,25.87,43.78,6.85,9.72
??,2025-09,48.0,69,1.0,29.75,50.4,5.35,11.02
??,2025-10,56.2,78,1.0,34.84,59.03,6.99,12.74
??,2025-11,64.09,85,1.0,39.74,67.28,8.62,14.38
??,2025-12,70.4,91,1.0,43.66,73.92,7.14,15.72
??,2025-01,53.19,70,1.0,32.99,55.86,6.75,12.1
??,2025-02,51.02,71,1.0,31.62,53.56,7.58,11.65
??,2025-03,45.41,63,1.0,28.16,47.67,5.15,10.48
??,2025-04,38.05,55,1.0,23.6,39.98,5.55,8.95
??,2025-05,30.27,51,1.0,18.76,31.74,5.91,7.62
??,2025-06,24.99,38,1.0,15.51,26.29,3.45,7.12
??,2025-07,23.65,41,1.0,14.67,24.86,4.29,6.93
??,2025-08,24.85,41,1.0,15.41,26.07,5.43,7.01
??,2025-09,30.32,52,1.0,18.79,31.88,3.91,7.67
??,2025-10,37.9,55,1.0,23.49,39.77,5.53,8.94
??,2025-11,45.31,59,1.0,28.12,47.57,7.14,10.44
??,2025-12,51.18,70,1.0,31.72,53.75,5.6,11.69
??,2025-01,73.45,93,1.0,45.56,77.08,8.36,16.35
??,2025-02,71.16,92,1.0,44.11,74.72,9.21,15.87
??,2025-03,65.21,88,1.0,40.42,68.45,6.73,14.63
??,2025-04,57.23,80,1.0,35.46,60.17,7.07,12.97
??,2025-05,48.88,70,1.0,30.32,51.31,7.41,11.21
??,2025-06,42.83,64,1.0,26.58,44.9,4.94,10.0
??,2025-07,40.73,61,1.0,25.22,42.79,5.76,9.64
??,2025-08,42.6,63,1.0,26.41,44.74,6.93,9.97
??,2025-09,48.82,71,1.0,30.29,51.3,5.41,11.18
??,2025-10,57.15,81,1.0,35.44,59.98,7.06,12.93
??,2025-11,65.07,88,1.0,40.31,68.35,8.71,14.62
??,2025-12,71.3,91,1.0,44.2,74.91,7.22,15.91
??,2025-01,89.57,99,0.9187,55.53,94.03,9.68,19.74
??,2025-02,87.05,99,0.9613,53.96,91.42,10.46,19.23
??,2025-03,80.42,99,0.994,49.89,84.42,7.94,17.82
??,2025-04,71.61,95,1.0,44.41,75.21,8.23,15.96
??,2025-05,62.42,86,1.0,38.71,65.55,8.5,14.04
??,2025-06,55.59,80,1.0,34.46,58.39,5.94,12.61
??,2025-07,53.31,76,1.0,33.06,55.97,6.76,12.12
??,2025-08,55.4,80,1.0,34.34,58.15,7.92,12.58
??,2025-09,62.41,86,1.0,38.7,65.54,6.48,14.03
??,2025-10,71.49,97,1.0,44.32,75.09,8.22,15.96
??,2025-11,80.23,99,0.9951,49.76,84.21,9.91,17.77
??,2025-12,87.24,99,0.9516,54.09,91.63,8.47,19.26
??,2025-01,48.99,66,1.0,30.4,51.44,6.41,11.23
??,2025-02,47.09,65,1.0,29.18,49.43,7.28,10.82
??,2025-03,41.97,61,1.0,26.02,44.08,4.88,9.75
??,2025-04,35.28,55,1.0,21.87,37.04,5.31,8.41
??,2025-05,28.31,47,1.0,17.55,29.71,5.76,7.36
??,2025-06,23.65,42,1.0,14.66,24.84,3.34,6.93
??,2025-07,22.34,38,1.0,13.86,23.46,4.2,6.87
??,2025-08,23.57,40,1.0,14.63,24.72,5.33,6.93
??,2025-09,28.3,47,1.0,17.54,29.74,3.75,7.35
??,2025-10,35.17,54,1.0,21.8,36.95,5.3,8.42
??,2025-11,41.85,60,1.0,25.96,43.92,6.86,9.72
??,2025-12,47.22,65,1.0,29.27,49.61,5.28,10.86
??,2025-01,91.64,99,0.8723,56.81,96.25,9.82,20.18
??,2025-02,89.11,99,0.9204,55.26,93.53,10.63,19.64
??,2025-03,82.39,99,0.9933,51.08,86.5,8.08,18.24
??,2025-04,73.68,98,1.0,45.69,77.35,8.38,16.4
??,2025-05,64.43,88,1.0,39.94,67.69,8.66,14.47
??,2025-06,57.63,80,1.0,35.73,60.52,6.12,13.04
??,2025-07,55.38,78,1.0,34.31,58.16,6.93,12.55
??,2025-08,57.44,81,1.0,35.65,60.24,8.09,13.01
??,2025-09,64.44,90,1.0,39.94,67.68,6.66,14.47
??,2025-10,73.51,98,1.0,45.6,77.18,8.39,16.4
??,2025-11,82.27,99,0.9896,51.01,86.37,10.08,18.21
??,2025-12,89.26,99,0.9194,55.33,93.77,8.65,19.67
??,2025-01,96.84,99,0.6788,60.06,101.65,10.25,21.28
??,2025-02,94.34,99,0.7835,58.49,99.07,11.06,20.74
??,2025-03,87.8,99,0.9489,54.44,92.22,8.53,19.37
??,2025-04,79.23,99,0.9986,49.13,83.2,8.85,17.56
??,2025-05,70.19,94,1.0,43.52,73.67,9.11,15.69
??,2025-06,63.5,86,1.0,39.37,66.7,6.58,14.26
??,2025-07,61.24,83,1.0,37.97,64.35,7.39,13.78
??,2025-08,63.32,86,1.0,39.27,66.45,8.57,14.25
??,2025-09,70.18,95,1.0,43.49,73.71,7.11,15.68
??,2025-10,79.1,99,0.9966,49.05,83.09,8.82,17.53
??,2025-11,87.65,99,0.9458,54.35,92.01,10.5,19.34
??,2025-12,94.54,99,0.7634,58.61,99.25,9.07,20.78
??,2025-01,62.38,82,1.0,38.67,65.52,7.5,14.04
??,2025-02,60.1,80,1.0,37.26,63.1,8.31,13.56
??,2025-03,54.13,75,1.0,33.55,56.86,5.82,12.31
??,2025-04,46.19,68,1.0,28.64,48.47,6.19,10.64
??,2025-05,37.89,60,1.0,23.49,39.79,6.53,9.1
??,2025-06,31.78,54,1.0,19.72,33.39,4.05,8.14
??,2025-07,29.74,50,1.0,18.43,31.24,4.86,7.86
??,2025-08,31.63,54,1.0,19.6,33.2,6.02,8.1
??,2025-09,37.86,61,1.0,23.46,39.75,4.53,9.06
??,2025-10,46.11,70,1.0,28.58,48.44,6.19,10.63
