city,province,region,date,record_count,avg_aqi,max_aqi,good_rate,avg_pm25,avg_pm10,avg_so2,avg_no2
上海,上海市,华东,2025-03-10,48,65.83,82,1.0,42.33,67.0,6.73,13.9
上海,上海市,华东,2025-03-11,48,61.6,74,1.0,37.27,67.62,6.46,14.58
上海,上海市,华东,2025-03-12,48,67.27,81,1.0,41.98,67.21,6.9,14.46
上海,上海市,华东,2025-03-13,48,60.17,74,1.0,37.92,65.98,6.31,13.48
上海,上海市,华东,2025-03-14,48,66.19,78,1.0,39.65,68.58,6.81,15.31
上海,上海市,华东,2025-03-15,48,58.1,73,1.0,37.69,60.23,6.19,12.44
上海,上海市,华东,2025-03-16,48,57.21,71,1.0,34.1,61.9,6.06,13.88
上海,上海市,华东,2025-03-17,48,65.19,77,1.0,41.52,65.02,6.65,13.88
上海,上海市,华东,2025-03-18,48,58.69,70,1.0,36.33,65.1,6.21,13.62
上海,上海市,华东,2025-03-19,48,65.81,81,1.0,39.94,66.9,6.73,14.81
上海,上海市,华东,2025-03-20,48,60.1,73,1.0,38.52,64.35,6.4,13.23
上海,上海市,华东,2025-03-21,48,62.65,76,1.0,37.19,66.33,6.65,14.94
上海,上海市,华东,2025-03-22,48,58.17,75,1.0,37.62,58.6,6.1,12.19
上海,上海市,华东,2025-03-23,48,53.65,66,1.0,32.48,59.65,5.77,12.81
上海,上海市,华东,2025-03-24,48,64.62,78,1.0,39.98,64.9,6.69,14.19
上海,上海市,华东,2025-03-25,48,57.67,72,1.0,36.46,63.17,6.02,13.0
上海,上海市,华东,2025-03-26,48,62.96,75,1.0,37.6,64.94,6.46,14.77
上海,上海市,华东,2025-03-27,48,59.67,74,1.0,38.83,61.44,6.19,12.71
上海,上海市,华东,2025-03-28,48,58.12,72,1.0,34.77,63.19,6.15,13.96
上海,上海市,华东,2025-03-29,48,57.73,70,1.0,36.69,57.46,6.0,12.23
上海,上海市,华东,2025-03-30,48,51.35,62,1.0,31.71,57.42,5.67,12.12
上海,上海市,华东,2025-03-31,48,62.85,77,1.0,37.98,63.71,6.54,14.33
上海,上海市,华东,2025-04-01,48,56.92,71,1.0,36.83,60.35,7.1,12.33
上海,上海市,华东,2025-04-02,48,58.75,72,1.0,34.81,62.52,7.19,14.02
上海,上海市,华东,2025-04-03,48,59.6,76,1.0,38.42,60.31,7.19,12.44
上海,上海市,华东,2025-04-04,48,55.12,67,1.0,33.23,61.67,6.96,13.12
上海,上海市,华东,2025-04-05,48,57.12,69,1.0,35.19,56.81,7.06,12.71
上海,上海市,华东,2025-04-06,48,49.77,64,1.0,31.83,54.25,6.5,11.27
上海,上海市,华东,2025-04-07,48,59.02,72,1.0,35.23,60.85,7.19,13.85
上海,上海市,华东,2025-04-08,48,56.33,71,1.0,36.73,57.92,7.02,11.79
上海,上海市,华东,2025-04-09,48,54.77,69,1.0,32.52,60.31,6.94,13.31
上海,上海市,华东,2025-04-10,48,59.71,72,1.0,37.65,59.52,7.25,12.98
上海,上海市,华东,2025-04-11,48,52.81,63,1.0,32.88,58.58,6.79,12.29
上海,上海市,华东,2025-04-12,48,54.42,69,1.0,32.85,54.71,6.92,12.65
上海,上海市,华东,2025-04-13,48,48.79,63,1.0,31.9,51.65,6.42,10.5
上海,上海市,华东,2025-04-14,48,55.17,68,1.0,32.44,59.52,6.88,13.23
上海,上海市,华东,2025-04-15,48,56.98,73,1.0,36.48,57.54,6.92,12.15
上海,上海市,华东,2025-04-16,48,51.88,63,1.0,31.42,57.92,6.71,12.48
上海,上海市,华东,2025-04-17,48,58.1,70,1.0,35.9,57.58,7.15,12.94
上海,上海市,华东,2025-04-18,48,50.69,66,1.0,32.6,54.94,6.58,11.27
上海,上海市,华东,2025-04-19,48,50.58,64,1.0,29.85,52.62,6.44,12.17
上海,上海市,华东,2025-04-20,48,48.92,63,1.0,31.94,50.17,6.29,10.25
上海,上海市,华东,2025-04-21,48,51.48,65,1.0,30.52,56.92,6.62,12.71
上海,上海市,华东,2025-04-22,48,56.35,69,1.0,35.6,55.5,7.02,12.19
上海,上海市,华东,2025-04-23,48,48.85,59,1.0,30.71,54.06,6.35,11.42
上海,上海市,华东,2025-04-24,48,55.15,70,1.0,33.17,55.98,6.9,12.69
上海,上海市,华东,2025-04-25,48,50.56,65,1.0,32.81,53.75,6.62,10.85
上海,上海市,华东,2025-04-26,48,47.29,59,1.0,27.44,51.56,6.35,11.73
上海,上海市,华东,2025-04-27,48,49.4,65,1.0,31.88,49.04,6.52,10.5
上海,上海市,华东,2025-04-28,48,48.0,59,1.0,29.25,53.6,6.38,11.6
上海,上海市,华东,2025-04-29,48,54.29,66,1.0,33.48,53.75,6.85,12.1
上海,上海市,华东,2025-04-30,48,47.46,62,1.0,30.58,51.73,6.23,10.52
上海,上海市,华东,2025-05-01,48,51.83,65,1.0,30.44,54.52,7.54,12.58
上海,上海市,华东,2025-05-02,48,50.75,64,1.0,33.04,51.58,7.48,10.92
上海,上海市,华东,2025-05-03,48,43.12,57,1.0,25.58,47.94,6.96,10.85
上海,上海市,华东,2025-05-04,48,48.1,61,1.0,30.48,46.73,7.35,10.44
上海,上海市,华东,2025-05-05,48,45.44,55,1.0,28.67,50.81,7.15,10.48
上海,上海市,华东,2025-05-06,48,51.96,67,1.0,30.92,53.17,7.62,12.21
上海,上海市,华东,2025-05-07,48,47.85,63,1.0,31.12,50.5,7.46,10.38
上海,上海市,华东,2025-05-08,48,48.27,60,1.0,28.21,52.4,7.5,12.1
上海,上海市,华东,2025-05-09,48,50.58,67,1.0,32.65,49.85,7.54,10.6
上海,上海市,华东,2025-05-10,48,39.71,51,1.0,24.35,45.08,6.62,9.62
上海,上海市,华东,2025-05-11,48,46.5,58,1.0,28.33,46.12,7.25,10.58
上海,上海市,华东,2025-05-12,48,44.9,59,1.0,28.98,48.94,7.06,10.08
上海,上海市,华东,2025-05-13,48,48.65,62,1.0,28.46,51.1,7.38,11.96
上海,上海市,华东,2025-05-14,48,47.6,61,1.0,31.15,47.67,7.27,9.98
上海,上海市,华东,2025-05-15,48,43.92,58,1.0,26.31,48.92,7.06,10.85
上海,上海市,华东,2025-05-16,48,49.67,63,1.0,31.15,48.88,7.52,10.75
上海,上海市,华东,2025-05-17,48,38.19,47,1.0,24.02,43.33,6.54,9.19
上海,上海市,华东,2025-05-18,48,44.46,59,1.0,26.08,45.38,7.06,10.77
上海,上海市,华东,2025-05-19,48,45.04,61,1.0,29.54,46.9,7.17,9.69
上海,上海市,华东,2025-05-20,48,44.52,57,1.0,26.15,48.62,7.02,11.02
上海,上海市,华东,2025-05-21,48,47.58,64,1.0,30.58,46.92,7.31,10.02
上海,上海市,华东,2025-05-22,48,41.5,53,1.0,25.25,47.27,6.9,10.12
上海,上海市,华东,2025-05-23,48,48.52,59,1.0,29.4,48.38,7.46,11.19
上海,上海市,华东,2025-05-24,48,37.58,52,1.0,24.65,40.56,6.54,8.38
上海,上海市,华东,2025-05-25,48,40.42,54,1.0,23.62,42.46,6.81,10.06
上海,上海市,华东,2025-05-26,48,44.69,58,1.0,29.48,44.62,7.06,9.35
上海,上海市,华东,2025-05-27,48,41.0,55,1.0,24.38,46.44,6.77,10.35
上海,上海市,华东,2025-05-28,48,47.4,60,1.0,29.42,46.67,7.33,10.52
上海,上海市,华东,2025-05-29,48,40.35,50,1.0,25.62,45.08,6.79,9.44
上海,上海市,华东,2025-05-30,48,45.79,60,1.0,27.02,46.71,7.12,10.98
上海,上海市,华东,2025-05-31,48,37.56,54,1.0,25.04,38.73,6.5,8.23
上海,上海市,华东,2025-06-01,48,36.92,50,1.0,21.46,41.21,4.5,9.5
上海,上海市,华东,2025-06-02,48,45.52,61,1.0,28.98,44.96,5.12,9.71
上海,上海市,华东,2025-06-03,48,39.29,50,1.0,24.12,44.71,4.71,9.69
上海,上海市,华东,2025-06-04,48,45.9,56,1.0,27.79,45.23,5.21,10.69
上海,上海市,华东,2025-06-05,48,39.46,54,1.0,26.12,42.06,4.69,8.73
上海,上海市,华东,2025-06-06,48,42.02,57,1.0,24.58,44.71,5.04,10.56
上海,上海市,华东,2025-06-07,48,38.21,51,1.0,25.08,37.96,4.6,8.15
上海,上海市,华东,2025-06-08,48,34.31,47,1.0,20.25,39.54,4.21,9.19
上海,上海市,华东,2025-06-09,48,45.25,58,1.0,28.08,44.15,5.19,10.31
上海,上海市,华东,2025-06-10,48,37.77,48,1.0,24.33,41.96,4.5,8.77
上海,上海市,华东,2025-06-11,48,42.96,58,1.0,25.29,44.1,4.9,10.4
上海,上海市,华东,2025-06-12,48,40.31,57,1.0,26.62,41.79,4.79,8.65
上海,上海市,华东,2025-06-13,48,39.5,52,1.0,22.85,44.31,4.75,10.23
上海,上海市,华东,2025-06-14,48,39.31,54,1.0,25.08,38.04,4.69,8.85
上海,上海市,华东,2025-06-15,48,32.31,44,1.0,20.17,36.92,4.06,8.0
上海,上海市,华东,2025-06-16,48,43.27,54,1.0,26.12,42.79,4.92,10.06
上海,上海市,华东,2025-06-17,48,37.6,53,1.0,24.88,40.23,4.56,8.42
上海,上海市,华东,2025-06-18,48,40.21,54,1.0,23.19,43.44,4.81,10.27
上海,上海市,华东,2025-06-19,48,41.62,53,1.0,27.1,41.31,4.85,8.88
上海,上海市,华东,2025-06-20,48,36.9,50,1.0,22.1,41.85,4.65,9.44
上海,上海市,华东,2025-06-21,48,38.4,52,1.0,23.9,36.77,4.58,9.02
上海,上海市,华东,2025-06-22,48,31.35,43,1.0,20.46,35.23,3.96,7.85
上海,上海市,华东,2025-06-23,48,41.25,56,1.0,24.02,42.94,4.83,10.19
上海,上海市,华东,2025-06-24,48,39.46,56,1.0,25.96,40.62,4.6,8.54
上海,上海市,华东,2025-06-25,48,37.88,50,1.0,22.02,42.42,4.58,9.9
上海,上海市,华东,2025-06-26,48,42.21,57,1.0,26.94,40.71,4.88,9.4
上海,上海市,华东,2025-06-27,48,34.98,47,1.0,22.02,39.81,4.29,8.6
上海,上海市,华东,2025-06-28,48,37.19,49,1.0,22.15,37.02,4.48,8.85
上海,上海市,华东,2025-06-29,48,32.31,47,1.0,21.54,34.69,4.04,7.46
上海,上海市,华东,2025-06-30,48,38.85,53,1.0,22.29,42.0,4.6,10.04
上海,上海市,华东,2025-07-01,48,40.52,52,1.0,26.58,39.58,5.75,8.88
上海,上海市,华东,2025-07-02,48,35.08,48,1.0,21.33,39.96,5.27,8.9
上海,上海市,华东,2025-07-03,48,41.83,56,1.0,25.73,40.81,5.88,9.52
上海,上海市,华东,2025-07-04,48,35.33,47,1.0,22.77,39.56,5.35,8.35
上海,上海市,华东,2025-07-05,48,35.88,49,1.0,20.48,37.56,5.52,9.21
上海,上海市,华东,2025-07-06,48,34.21,51,1.0,22.81,34.48,5.31,7.83
上海,上海市,华东,2025-07-07,48,36.25,49,1.0,21.25,40.62,5.38,9.38
上海,上海市,华东,2025-07-08,48,41.15,56,1.0,26.21,39.73,5.83,8.9
上海,上海市,华东,2025-07-09,48,34.4,47,1.0,21.65,39.38,5.29,8.62
上海,上海市,华东,2025-07-10,48,41.23,53,1.0,24.35,41.46,5.77,9.96
上海,上海市,华东,2025-07-11,48,36.69,51,1.0,24.35,38.67,5.29,8.12
上海,上海市,华东,2025-07-12,48,33.12,48,1.0,19.08,35.85,5.15,8.79
上海,上海市,华东,2025-07-13,48,35.1,47,1.0,23.27,33.77,5.31,7.85
上海,上海市,华东,2025-07-14,48,34.4,47,1.0,20.88,39.71,5.23,8.92
上海,上海市,华东,2025-07-15,48,41.71,55,1.0,25.35,41.17,5.75,9.56
上海,上海市,华东,2025-07-16,48,35.52,47,1.0,23.02,39.35,5.4,8.21
上海,上海市,华东,2025-07-17,48,39.79,53,1.0,23.06,41.52,5.65,10.0
上海,上海市,华东,2025-07-18,48,38.42,56,1.0,25.58,38.5,5.6,8.4
上海,上海市,华东,2025-07-19,48,30.96,44,1.0,18.04,35.56,5.0,8.46
上海,上海市,华东,2025-07-20,48,36.79,51,1.0,23.21,35.5,5.48,8.21
上海,上海市,华东,2025-07-21,48,34.73,47,1.0,21.79,39.69,5.29,8.6
上海,上海市,华东,2025-07-22,48,41.0,53,1.0,24.23,41.17,5.75,10.02
上海,上海市,华东,2025-07-23,48,36.6,51,1.0,24.56,37.92,5.27,8.17
上海,上海市,华东,2025-07-24,48,37.19,52,1.0,21.67,40.56,5.4,9.58
上海,上海市,华东,2025-07-25,48,40.21,51,1.0,26.17,39.42,5.77,8.52
上海,上海市,华东,2025-07-26,48,30.42,42,1.0,18.35,35.56,4.94,8.35
上海,上海市,华东,2025-07-27,48,37.6,51,1.0,22.75,36.62,5.46,9.02
上海,上海市,华东,2025-07-28,48,35.81,49,1.0,23.52,39.02,5.42,8.21
上海,上海市,华东,2025-07-29,48,39.46,53,1.0,22.9,41.46,5.65,9.92
上海,上海市,华东,2025-07-30,48,39.12,57,1.0,25.94,39.44,5.6,8.35
上海,上海市,华东,2025-07-31,48,36.17,48,1.0,21.1,41.38,5.42,9.46
上海,上海市,华东,2025-08-01,48,42.42,56,1.0,26.48,41.31,6.94,9.46
上海,上海市,华东,2025-08-02,48,30.75,43,1.0,19.65,34.83,5.94,7.65
上海,上海市,华东,2025-08-03,48,36.6,50,1.0,21.52,36.56,6.4,9.08
上海,上海市,华东,2025-08-04,48,37.38,52,1.0,24.98,38.79,6.46,8.29
上海,上海市,华东,2025-08-05,48,37.88,53,1.0,21.9,41.96,6.6,9.83
上海,上海市,华东,2025-08-06,48,41.79,53,1.0,26.85,40.94,6.81,9.1
上海,上海市,华东,2025-08-07,48,35.88,47,1.0,21.88,40.96,6.4,9.06
上海,上海市,华东,2025-08-08,48,42.81,57,1.0,26.1,41.96,6.92,9.98
上海,上海市,华东,2025-08-09,48,32.0,46,1.0,21.29,34.9,6.06,7.69
上海,上海市,华东,2025-08-10,48,35.73,49,1.0,20.35,38.27,6.42,9.21
上海,上海市,华东,2025-08-11,48,40.83,58,1.0,26.69,41.17,6.79,8.67
上海,上海市,华东,2025-08-12,48,37.46,49,1.0,22.1,42.46,6.54,9.77
上海,上海市,华东,2025-08-13,48,43.44,57,1.0,27.17,41.88,7.0,9.81
上海,上海市,华东,2025-08-14,48,36.27,50,1.0,23.27,40.46,6.33,8.6
上海,上海市,华东,2025-08-15,48,42.17,56,1.0,24.88,43.02,7.02,10.17
上海,上海市,华东,2025-08-16,48,34.79,49,1.0,23.23,36.17,6.12,7.67
上海,上海市,华东,2025-08-17,48,34.9,49,1.0,20.02,38.96,6.25,9.38
上海,上海市,华东,2025-08-18,48,43.46,55,1.0,28.0,42.25,7.02,9.52
上海,上海市,华东,2025-08-19,48,36.98,48,1.0,22.88,41.96,6.44,9.06
上海,上海市,华东,2025-08-20,48,44.02,58,1.0,26.69,43.71,7.0,10.19
上海,上海市,华东,2025-08-21,48,38.58,53,1.0,25.27,42.0,6.6,8.62
上海,上海市,华东,2025-08-22,48,42.12,54,1.0,24.21,45.23,6.85,10.65
上海,上海市,华东,2025-08-23,48,38.44,55,1.0,25.21,38.04,6.58,8.5
上海,上海市,华东,2025-08-24,48,34.19,45,1.0,20.44,38.92,6.25,8.73
上海,上海市,华东,2025-08-25,48,44.94,58,1.0,28.1,43.62,6.98,9.83
上海,上海市,华东,2025-08-26,48,38.17,52,1.0,24.46,42.6,6.5,8.9
上海,上海市,华东,2025-08-27,48,44.27,58,1.0,25.94,45.75,7.12,10.88
上海,上海市,华东,2025-08-28,48,42.06,55,1.0,27.67,43.29,6.88,9.06
上海,上海市,华东,2025-08-29,48,41.08,56,1.0,24.12,45.23,6.79,10.6
上海,上海市,华东,2025-08-30,48,40.69,53,1.0,26.25,39.19,6.69,8.94
上海,上海市,华东,2025-08-31,48,34.33,45,1.0,21.42,39.42,6.25,8.71
上海,上海市,华东,2025-09-01,48,46.35,60,1.0,27.75,46.75,5.23,10.81
上海,上海市,华东,2025-09-02,48,41.6,56,1.0,27.02,44.79,4.73,9.19
上海,上海市,华东,2025-09-03,48,44.17,56,1.0,25.71,47.31,4.96,11.1
上海,上海市,华东,2025-09-04,48,45.33,62,1.0,29.6,44.94,5.17,9.6
上海,上海市,华东,2025-09-05,48,40.65,52,1.0,24.52,45.85,4.65,10.08
上海,上海市,华东,2025-09-06,48,42.98,55,1.0,26.56,42.08,4.85,9.65
上海,上海市,华东,2025-09-07,48,36.65,50,1.0,23.52,40.96,4.5,8.67
上海,上海市,华东,2025-09-08,48,46.75,60,1.0,27.38,48.25,5.31,11.38
上海,上海市,华东,2025-09-09,48,44.58,58,1.0,29.5,45.29,5.06,9.48
上海,上海市,华东,2025-09-10,48,42.9,58,1.0,25.44,47.33,5.0,10.65
上海,上海市,华东,2025-09-11,48,48.04,60,1.0,30.5,47.19,5.4,10.33
上海,上海市,华东,2025-09-12,48,41.98,52,1.0,25.98,47.67,4.9,10.1
上海,上海市,华东,2025-09-13,48,44.71,58,1.0,26.52,44.98,5.08,10.67
上海,上海市,华东,2025-09-14,48,39.79,55,1.0,26.21,42.21,4.65,8.67
上海,上海市,华东,2025-09-15,48,46.1,58,1.0,27.0,49.46,5.23,11.35
上海,上海市,华东,2025-09-16,48,48.08,65,1.0,31.19,47.75,5.31,10.06
上海,上海市,华东,2025-09-17,48,43.5,54,1.0,26.25,49.4,5.04,10.69
上海,上海市,华东,2025-09-18,48,50.9,62,1.0,31.23,50.5,5.6,11.4
上海,上海市,华东,2025-09-19,48,44.4,58,1.0,28.58,48.44,5.08,10.06
上海,上海市,华东,2025-09-20,48,44.44,59,1.0,26.12,45.81,5.02,10.88
上海,上海市,华东,2025-09-21,48,42.85,56,1.0,28.44,43.4,5.0,8.98
上海,上海市,华东,2025-09-22,48,45.75,61,1.0,27.08,50.98,5.08,11.44
上海,上海市,华东,2025-09-23,48,51.69,64,1.0,32.54,51.15,5.62,11.23
上海,上海市,华东,2025-09-24,48,45.29,54,1.0,28.29,50.73,4.98,10.77
上海,上海市,华东,2025-09-25,48,51.96,66,1.0,31.19,52.44,5.69,12.17
上海,上海市,华东,2025-09-26,48,47.33,64,1.0,31.02,49.77,5.38,10.04
上海,上海市,华东,2025-09-27,48,44.23,56,1.0,25.73,48.15,4.96,11.08
上海,上海市,华东,2025-09-28,48,47.12,64,1.0,30.27,47.02,5.25,9.92
上海,上海市,华东,2025-09-29,48,46.92,56,1.0,28.4,52.85,5.27,11.46
上海,上海市,华东,2025-09-30,48,53.9,65,1.0,33.08,53.25,5.81,12.15
上海,上海市,华东,2025-10-01,48,47.21,61,1.0,30.6,51.04,6.23,10.5
上海,上海市,华东,2025-10-02,48,51.69,67,1.0,30.62,54.04,6.56,12.33
上海,上海市,华东,2025-10-03,48,51.19,64,1.0,33.29,52.31,6.62,10.83
上海,上海市,华东,2025-10-04,48,44.67,59,1.0,26.35,50.02,6.06,11.33
上海,上海市,华东,2025-10-05,48,50.62,63,1.0,31.81,49.65,6.48,11.12
上海,上海市,华东,2025-10-06,48,48.25,57,1.0,30.44,53.4,6.33,11.25
上海,上海市,华东,2025-10-07,48,54.71,69,1.0,32.9,55.75,6.85,12.71
上海,上海市,华东,2025-10-08,48,50.96,68,1.0,33.06,53.75,6.62,10.83
上海,上海市,华东,2025-10-09,48,52.33,64,1.0,30.54,57.06,6.73,12.85
上海,上海市,华东,2025-10-10,48,55.67,72,1.0,35.58,55.52,6.98,11.81
上海,上海市,华东,2025-10-11,48,45.31,55,1.0,27.77,50.71,6.12,10.88
上海,上海市,华东,2025-10-12,48,52.27,63,1.0,32.19,51.71,6.79,11.71
上海,上海市,华东,2025-10-13,48,50.58,65,1.0,32.77,54.62,6.56,11.12
上海,上海市,华东,2025-10-14,48,55.15,70,1.0,32.5,58.31,6.98,13.25
上海,上海市,华东,2025-10-15,48,55.31,67,1.0,35.83,56.21,6.9,11.85
上海,上海市,华东,2025-10-16,48,52.38,66,1.0,31.38,57.88,6.75,12.77
上海,上海市,华东,2025-10-17,48,58.35,71,1.0,36.65,57.58,7.25,12.65
上海,上海市,华东,2025-10-18,48,46.81,57,1.0,29.67,52.04,6.27,10.79
上海,上海市,华东,2025-10-19,48,53.54,67,1.0,31.77,55.08,6.73,12.58
上海,上海市,华东,2025-10-20,48,55.12,72,1.0,35.58,57.94,6.85,11.88
上海,上海市,华东,2025-10-21,48,55.62,67,1.0,32.81,60.35,6.77,13.58
上海,上海市,华东,2025-10-22,48,59.04,75,1.0,37.79,58.6,7.25,12.54
上海,上海市,华东,2025-10-23,48,52.85,64,1.0,32.62,58.71,6.73,12.38
上海,上海市,华东,2025-10-24,48,60.12,71,1.0,36.62,60.54,7.33,13.46
上海,上海市,华东,2025-10-25,48,50.1,64,1.0,32.25,54.17,6.58,11.04
上海,上海市,华东,2025-10-26,48,54.08,69,1.0,31.73,57.23,6.79,13.1
上海,上海市,华东,2025-10-27,48,58.88,71,1.0,38.17,59.29,7.25,12.31
上海,上海市,华东,2025-10-28,48,55.12,69,1.0,33.35,60.79,6.94,13.29
上海,上海市,华东,2025-10-29,48,61.48,75,1.0,38.31,61.25,7.48,13.42
上海,上海市,华东,2025-10-30,48,55.17,66,1.0,34.77,61.02,6.9,12.52
上海,上海市,华东,2025-10-31,48,61.79,75,1.0,36.75,63.98,7.54,14.48
上海,上海市,华东,2025-11-01,48,54.25,71,1.0,35.21,56.33,7.81,11.5
上海,上海市,华东,2025-11-02,48,53.69,66,1.0,31.88,58.35,7.77,12.94
上海,上海市,华东,2025-11-03,48,62.21,78,1.0,39.56,61.98,8.54,13.15
上海,上海市,华东,2025-11-04,48,56.23,67,1.0,34.75,62.62,8.02,13.1
