region,year_month,record_count,avg_aqi,max_aqi,good_rate,polluted_rate,avg_pm25,avg_pm10,avg_so2,avg_no2
华中,2025-11,8640,85.49,131.0,0.7948,0.2052,53.01,89.74,10.33,18.88
华中,2025-12,8928,92.51,136.0,0.6866,0.3134,57.35,97.15,8.9,20.36
华北,2025-01,7440,117.32,162.0,0.134,0.866,72.76,123.2,11.89,25.56
华北,2025-02,6720,114.61,160.0,0.1836,0.8164,71.06,120.33,12.67,25.0
华北,2025-03,7440,107.15,154.0,0.3684,0.6316,66.44,112.51,10.08,23.43
华北,2025-04,7200,97.44,145.0,0.6076,0.3924,60.39,102.23,10.3,21.37
华北,2025-05,7440,87.2,135.0,0.789,0.211,54.06,91.57,10.48,19.25
华北,2025-06,7200,79.67,126.0,0.891,0.109,49.39,83.64,7.86,17.64
华北,2025-07,7440,77.13,121.0,0.923,0.077,47.82,80.99,8.67,17.13
华北,2025-08,7440,79.46,126.0,0.8958,0.1042,49.28,83.42,9.85,17.62
华北,2025-09,7200,87.21,136.0,0.7954,0.2046,54.05,91.59,8.47,19.25
华北,2025-10,7440,97.29,145.0,0.6105,0.3895,60.33,102.17,10.28,21.36
华北,2025-11,7200,107.0,155.0,0.3757,0.6243,66.35,112.31,12.07,23.4
华北,2025-12,7440,114.72,160.0,0.1852,0.8148,71.11,120.47,10.68,25.03
华南,2025-01,14880,53.3,80.0,1.0,0.0,33.05,55.95,6.76,12.13
华南,2025-02,13440,51.36,78.0,1.0,0.0,31.85,53.94,7.61,11.73
华南,2025-03,14880,46.27,75.0,1.0,0.0,28.69,48.58,5.2,10.69
华南,2025-04,14400,39.57,69.0,1.0,0.0,24.54,41.55,5.67,9.4
华南,2025-05,14880,32.6,59.0,1.0,0.0,20.21,34.22,6.1,8.25
华南,2025-06,14400,27.76,55.0,1.0,0.0,17.2,29.16,3.69,7.6
华南,2025-07,14880,26.22,52.0,1.0,0.0,16.26,27.55,4.55,7.42
华南,2025-08,14880,27.62,56.0,1.0,0.0,17.14,28.98,5.67,7.6
华南,2025-09,14400,32.6,62.0,1.0,0.0,20.2,34.25,4.1,8.25
华南,2025-10,14880,39.47,69.0,1.0,0.0,24.47,41.44,5.66,9.39
华南,2025-11,14400,46.13,73.0,1.0,0.0,28.61,48.42,7.19,10.66
华南,2025-12,14880,51.51,80.0,1.0,0.0,31.92,54.09,5.62,11.76
西北,2025-01,10416,102.34,145.0,0.4711,0.5289,63.47,107.47,10.69,22.43
西北,2025-02,9408,99.69,143.0,0.5224,0.4776,61.8,104.67,11.47,21.86
西北,2025-03,10416,92.79,138.0,0.664,0.336,57.53,97.42,8.93,20.42
西北,2025-04,10080,83.67,128.0,0.8277,0.1723,51.88,87.85,9.2,18.49
西北,2025-05,10416,74.08,118.0,0.9555,0.0445,45.93,77.78,9.42,16.49
西北,2025-06,10080,67.02,112.0,0.9938,0.0062,41.55,70.38,6.86,15.01
西北,2025-07,10416,64.63,107.0,0.9981,0.0019,40.08,67.86,7.67,14.51
西北,2025-08,10416,66.81,109.0,0.9927,0.0073,41.43,70.13,8.84,14.97
西北,2025-09,10080,74.08,118.0,0.9569,0.0431,45.92,77.81,7.43,16.5
西北,2025-10,10416,83.55,129.0,0.8275,0.1725,51.8,87.72,9.18,18.48
西北,2025-11,10080,92.6,137.0,0.6661,0.3339,57.43,97.21,10.91,20.38
西北,2025-12,10416,99.9,143.0,0.5205,0.4795,61.93,104.92,9.49,21.92
西南,2025-01,11904,62.53,106.0,0.9971,0.0029,38.78,65.68,7.5,14.06
西南,2025-02,10752,60.38,105.0,0.9993,0.0007,37.42,63.38,8.33,13.61
西南,2025-03,11904,54.78,101.0,0.9998,0.0002,33.97,57.52,5.89,12.45
西南,2025-04,11520,47.39,92.0,1.0,0.0,29.39,49.76,6.29,10.96
西南,2025-05,11904,39.76,85.0,1.0,0.0,24.65,41.73,6.66,9.61
西南,2025-06,11520,34.53,76.0,1.0,0.0,21.4,36.27,4.22,8.81
西南,2025-07,11904,32.94,76.0,1.0,0.0,20.42,34.59,5.07,8.57
西南,2025-08,11904,34.39,77.0,1.0,0.0,21.33,36.09,6.2,8.77
西南,2025-09,11520,39.75,84.0,1.0,0.0,24.63,41.76,4.67,9.62
西南,2025-10,11904,47.29,93.0,1.0,0.0,29.33,49.66,6.28,10.95
西南,2025-11,11520,54.63,100.0,1.0,0.0,33.88,57.34,7.87,12.41
西南,2025-12,11904,60.55,104.0,0.9987,0.0013,37.53,63.59,6.34,13.65
