record_id,city,region,datetime,aqi,pm25,primary_pollutant,filter_rule
AQ2025-034-2-00005,乌鲁木齐,西北,2025-01-01 04:00:00,122,75,PM2.5,aqi >= 101 and pm25 >= 75
AQ2025-001-2-00006,北京,华北,2025-01-01 05:00:00,116,76,PM2.5,aqi >= 101 and pm25 >= 75
AQ2025-003-1-00006,石家庄,华北,2025-01-01 05:00:00,137,88,PM2.5,aqi >= 101 and pm25 >= 75
AQ2025-003-2-00006,石家庄,华北,2025-01-01 05:00:00,142,93,PM2.5,aqi >= 101 and pm25 >= 75
AQ2025-004-1-00006,太原,华北,2025-01-01 05:00:00,124,79,PM2.5,aqi >= 101 and pm25 >= 75
AQ2025-004-2-00006,太原,华北,2025-01-01 05:00:00,129,84,PM2.5,aqi >= 101 and pm25 >= 75
AQ2025-016-2-00006,郑州,华中,2025-01-01 05:00:00,123,75,PM2.5,aqi >= 101 and pm25 >= 75
AQ2025-001-2-00007,北京,华北,2025-01-01 06:00:00,116,76,PM2.5,aqi >= 101 and pm25 >= 75
AQ2025-003-1-00007,石家庄,华北,2025-01-01 06:00:00,137,88,PM2.5,aqi >= 101 and pm25 >= 75
AQ2025-003-2-00007,石家庄,华北,2025-01-01 06:00:00,142,93,PM2.5,aqi >= 101 and pm25 >= 75
AQ2025-004-1-00007,太原,华北,2025-01-01 06:00:00,124,80,PM2.5,aqi >= 101 and pm25 >= 75
AQ2025-004-2-00007,太原,华北,2025-01-01 06:00:00,130,85,PM2.5,aqi >= 101 and pm25 >= 75
AQ2025-016-2-00007,郑州,华中,2025-01-01 06:00:00,121,75,PM2.5,aqi >= 101 and pm25 >= 75
AQ2025-001-1-00008,北京,华北,2025-01-01 07:00:00,119,77,PM2.5,aqi >= 101 and pm25 >= 75
AQ2025-001-2-00008,北京,华北,2025-01-01 07:00:00,126,83,PM2.5,aqi >= 101 and pm25 >= 75
AQ2025-002-1-00008,天津,华北,2025-01-01 07:00:00,116,75,PM2.5,aqi >= 101 and pm25 >= 75
AQ2025-002-2-00008,天津,华北,2025-01-01 07:00:00,122,80,PM2.5,aqi >= 101 and pm25 >= 75
AQ2025-003-1-00008,石家庄,华北,2025-01-01 07:00:00,146,94,PM2.5,aqi >= 101 and pm25 >= 75
AQ2025-003-2-00008,石家庄,华北,2025-01-01 07:00:00,152,99,PM2.5,aqi >= 101 and pm25 >= 75
AQ2025-004-1-00008,太原,华北,2025-01-01 07:00:00,133,85,PM2.5,aqi >= 101 and pm25 >= 75
AQ2025-004-2-00008,太原,华北,2025-01-01 07:00:00,139,90,PM2.5,aqi >= 101 and pm25 >= 75
AQ2025-005-2-00008,呼和浩特,华北,2025-01-01 07:00:00,120,77,PM2.5,aqi >= 101 and pm25 >= 75
AQ2025-016-1-00008,郑州,华中,2025-01-01 07:00:00,122,75,PM2.5,aqi >= 101 and pm25 >= 75
AQ2025-016-2-00008,郑州,华中,2025-01-01 07:00:00,128,80,PM2.5,aqi >= 101 and pm25 >= 75
AQ2025-034-2-00008,乌鲁木齐,西北,2025-01-01 07:00:00,122,75,PM2.5,aqi >= 101 and pm25 >= 75
AQ2025-001-1-00009,北京,华北,2025-01-01 08:00:00,119,77,PM2.5,aqi >= 101 and pm25 >= 75
AQ2025-001-2-00009,北京,华北,2025-01-01 08:00:00,126,82,PM2.5,aqi >= 101 and pm25 >= 75
AQ2025-002-1-00009,天津,华北,2025-01-01 08:00:00,116,76,PM2.5,aqi >= 101 and pm25 >= 75
AQ2025-002-2-00009,天津,华北,2025-01-01 08:00:00,123,81,PM2.5,aqi >= 101 and pm25 >= 75
AQ2025-003-1-00009,石家庄,华北,2025-01-01 08:00:00,146,94,PM2.5,aqi >= 101 and pm25 >= 75
AQ2025-003-2-00009,石家庄,华北,2025-01-01 08:00:00,153,99,PM2.5,aqi >= 101 and pm25 >= 75
AQ2025-004-1-00009,太原,华北,2025-01-01 08:00:00,133,85,PM2.5,aqi >= 101 and pm25 >= 75
AQ2025-004-2-00009,太原,华北,2025-01-01 08:00:00,140,90,PM2.5,aqi >= 101 and pm25 >= 75
AQ2025-005-2-00009,呼和浩特,华北,2025-01-01 08:00:00,121,78,PM2.5,aqi >= 101 and pm25 >= 75
AQ2025-016-1-00009,郑州,华中,2025-01-01 08:00:00,119,75,PM2.5,aqi >= 101 and pm25 >= 75
AQ2025-016-2-00009,郑州,华中,2025-01-01 08:00:00,126,80,PM2.5,aqi >= 101 and pm25 >= 75
AQ2025-034-2-00009,乌鲁木齐,西北,2025-01-01 08:00:00,125,79,PM2.5,aqi >= 101 and pm25 >= 75
AQ2025-048-2-00009,洛阳,华中,2025-01-01 08:00:00,125,76,PM2.5,aqi >= 101 and pm25 >= 75
AQ2025-001-2-00010,北京,华北,2025-01-01 09:00:00,119,78,PM2.5,aqi >= 101 and pm25 >= 75
AQ2025-002-2-00010,天津,华北,2025-01-01 09:00:00,115,75,PM2.5,aqi >= 101 and pm25 >= 75
AQ2025-003-1-00010,石家庄,华北,2025-01-01 09:00:00,137,88,PM2.5,aqi >= 101 and pm25 >= 75
AQ2025-003-2-00010,石家庄,华北,2025-01-01 09:00:00,145,94,PM2.5,aqi >= 101 and pm25 >= 75
AQ2025-004-1-00010,太原,华北,2025-01-01 09:00:00,124,80,PM2.5,aqi >= 101 and pm25 >= 75
AQ2025-004-2-00010,太原,华北,2025-01-01 09:00:00,132,85,PM2.5,aqi >= 101 and pm25 >= 75
AQ2025-034-2-00010,乌鲁木齐,西北,2025-01-01 09:00:00,122,79,PM2.5,aqi >= 101 and pm25 >= 75
AQ2025-001-2-00011,北京,华北,2025-01-01 10:00:00,120,78,PM2.5,aqi >= 101 and pm25 >= 75
AQ2025-002-2-00011,天津,华北,2025-01-01 10:00:00,116,76,PM2.5,aqi >= 101 and pm25 >= 75
AQ2025-003-1-00011,石家庄,华北,2025-01-01 10:00:00,138,89,PM2.5,aqi >= 101 and pm25 >= 75
AQ2025-003-2-00011,石家庄,华北,2025-01-01 10:00:00,147,94,PM2.5,aqi >= 101 and pm25 >= 75
AQ2025-004-1-00011,太原,华北,2025-01-01 10:00:00,125,80,PM2.5,aqi >= 101 and pm25 >= 75
AQ2025-004-2-00011,太原,华北,2025-01-01 10:00:00,134,85,PM2.5,aqi >= 101 and pm25 >= 75
AQ2025-034-1-00011,乌鲁木齐,西北,2025-01-01 10:00:00,119,78,PM2.5,aqi >= 101 and pm25 >= 75
AQ2025-034-2-00011,乌鲁木齐,西北,2025-01-01 10:00:00,128,83,PM2.5,aqi >= 101 and pm25 >= 75
AQ2025-001-2-00012,北京,华北,2025-01-01 11:00:00,121,78,PM2.5,aqi >= 101 and pm25 >= 75
AQ2025-002-2-00012,天津,华北,2025-01-01 11:00:00,118,76,PM2.5,aqi >= 101 and pm25 >= 75
AQ2025-003-1-00012,石家庄,华北,2025-01-01 11:00:00,138,89,PM2.5,aqi >= 101 and pm25 >= 75
AQ2025-003-2-00012,石家庄,华北,2025-01-01 11:00:00,148,94,PM2.5,aqi >= 101 and pm25 >= 75
AQ2025-004-1-00012,太原,华北,2025-01-01 11:00:00,125,80,PM2.5,aqi >= 101 and pm25 >= 75
AQ2025-004-2-00012,太原,华北,2025-01-01 11:00:00,135,85,PM2.5,aqi >= 101 and pm25 >= 75
AQ2025-030-2-00012,西安,西北,2025-01-01 11:00:00,123,78,PM2.5,aqi >= 101 and pm25 >= 75
AQ2025-031-2-00012,兰州,西北,2025-01-01 11:00:00,117,75,PM2.5,aqi >= 101 and pm25 >= 75
AQ2025-034-1-00012,乌鲁木齐,西北,2025-01-01 11:00:00,122,80,PM2.5,aqi >= 101 and pm25 >= 75
AQ2025-034-2-00012,乌鲁木齐,西北,2025-01-01 11:00:00,132,85,PM2.5,aqi >= 101 and pm25 >= 75
AQ2025-001-2-00013,北京,华北,2025-01-01 12:00:00,123,79,PM2.5,aqi >= 101 and pm25 >= 75
AQ2025-002-2-00013,天津,华北,2025-01-01 12:00:00,119,76,PM2.5,aqi >= 101 and pm25 >= 75
AQ2025-003-1-00013,石家庄,华北,2025-01-01 12:00:00,139,90,PM2.5,aqi >= 101 and pm25 >= 75
AQ2025-003-2-00013,石家庄,华北,2025-01-01 12:00:00,149,94,PM2.5,aqi >= 101 and pm25 >= 75
AQ2025-004-1-00013,太原,华北,2025-01-01 12:00:00,125,80,PM2.5,aqi >= 101 and pm25 >= 75
AQ2025-004-2-00013,太原,华北,2025-01-01 12:00:00,136,85,PM2.5,aqi >= 101 and pm25 >= 75
AQ2025-030-1-00013,西安,西北,2025-01-01 12:00:00,117,76,PM2.5,aqi >= 101 and pm25 >= 75
AQ2025-030-2-00013,西安,西北,2025-01-01 12:00:00,127,81,PM2.5,aqi >= 101 and pm25 >= 75
AQ2025-031-2-00013,兰州,西北,2025-01-01 12:00:00,121,78,PM2.5,aqi >= 101 and pm25 >= 75
AQ2025-034-1-00013,乌鲁木齐,西北,2025-01-01 12:00:00,123,79,PM2.5,aqi >= 101 and pm25 >= 75
AQ2025-034-2-00013,乌鲁木齐,西北,2025-01-01 12:00:00,132,84,PM2.5,aqi >= 101 and pm25 >= 75
AQ2025-001-1-00014,北京,华北,2025-01-01 13:00:00,113,75,PM2.5,aqi >= 101 and pm25 >= 75
AQ2025-001-2-00014,北京,华北,2025-01-01 13:00:00,124,80,PM2.5,aqi >= 101 and pm25 >= 75
AQ2025-002-2-00014,天津,华北,2025-01-01 13:00:00,121,77,PM2.5,aqi >= 101 and pm25 >= 75
AQ2025-003-1-00014,石家庄,华北,2025-01-01 13:00:00,139,89,PM2.5,aqi >= 101 and pm25 >= 75
AQ2025-003-2-00014,石家庄,华北,2025-01-01 13:00:00,151,95,PM2.5,aqi >= 101 and pm25 >= 75
AQ2025-004-1-00014,太原,华北,2025-01-01 13:00:00,126,80,PM2.5,aqi >= 101 and pm25 >= 75
AQ2025-004-2-00014,太原,华北,2025-01-01 13:00:00,137,85,PM2.5,aqi >= 101 and pm25 >= 75
AQ2025-030-1-00014,西安,西北,2025-01-01 13:00:00,119,78,PM2.5,aqi >= 101 and pm25 >= 75
AQ2025-030-2-00014,西安,西北,2025-01-01 13:00:00,130,83,PM2.5,aqi >= 101 and pm25 >= 75
AQ2025-031-2-00014,兰州,西北,2025-01-01 13:00:00,122,78,PM2.5,aqi >= 101 and pm25 >= 75
AQ2025-034-1-00014,乌鲁木齐,西北,2025-01-01 13:00:00,120,76,PM2.5,aqi >= 101 and pm25 >= 75
AQ2025-034-2-00014,乌鲁木齐,西北,2025-01-01 13:00:00,131,81,PM2.5,aqi >= 101 and pm25 >= 75
AQ2025-001-1-00015,北京,华北,2025-01-01 14:00:00,114,75,PM2.5,aqi >= 101 and pm25 >= 75
AQ2025-001-2-00015,北京,华北,2025-01-01 14:00:00,125,80,PM2.5,aqi >= 101 and pm25 >= 75
AQ2025-002-2-00015,天津,华北,2025-01-01 14:00:00,122,77,PM2.5,aqi >= 101 and pm25 >= 75
AQ2025-003-1-00015,石家庄,华北,2025-01-01 14:00:00,140,90,PM2.5,aqi >= 101 and pm25 >= 75
AQ2025-003-2-00015,石家庄,华北,2025-01-01 14:00:00,152,95,PM2.5,aqi >= 101 and pm25 >= 75
AQ2025-004-1-00015,太原,华北,2025-01-01 14:00:00,126,80,PM2.5,aqi >= 101 and pm25 >= 75
AQ2025-004-2-00015,太原,华北,2025-01-01 14:00:00,138,85,PM2.5,aqi >= 101 and pm25 >= 75
AQ2025-030-1-00015,西安,西北,2025-01-01 14:00:00,118,77,PM2.5,aqi >= 101 and pm25 >= 75
AQ2025-030-2-00015,西安,西北,2025-01-01 14:00:00,129,82,PM2.5,aqi >= 101 and pm25 >= 75
AQ2025-031-2-00015,兰州,西北,2025-01-01 14:00:00,121,76,PM2.5,aqi >= 101 and pm25 >= 75
AQ2025-034-2-00015,乌鲁木齐,西北,2025-01-01 14:00:00,127,76,PM2.5,aqi >= 101 and pm25 >= 75
AQ2025-001-1-00016,北京,华北,2025-01-01 15:00:00,115,76,PM2.5,aqi >= 101 and pm25 >= 75
AQ2025-001-2-00016,北京,华北,2025-01-01 15:00:00,126,80,PM2.5,aqi >= 101 and pm25 >= 75
AQ2025-002-2-00016,天津,华北,2025-01-01 15:00:00,123,77,PM2.5,aqi >= 101 and pm25 >= 75
AQ2025-003-1-00016,石家庄,华北,2025-01-01 15:00:00,141,90,PM2.5,aqi >= 101 and pm25 >= 75
AQ2025-003-2-00016,石家庄,华北,2025-01-01 15:00:00,152,94,PM2.5,aqi >= 101 and pm25 >= 75
AQ2025-004-1-00016,太原,华北,2025-01-01 15:00:00,127,80,PM2.5,aqi >= 101 and pm25 >= 75
AQ2025-004-2-00016,太原,华北,2025-01-01 15:00:00,138,84,PM2.5,aqi >= 101 and pm25 >= 75
AQ2025-030-1-00016,西安,西北,2025-01-01 15:00:00,116,75,PM2.5,aqi >= 101 and pm25 >= 75
AQ2025-030-2-00016,西安,西北,2025-01-01 15:00:00,127,79,PM2.5,aqi >= 101 and pm25 >= 75
AQ2025-001-1-00017,北京,华北,2025-01-01 16:00:00,116,76,PM2.5,aqi >= 101 and pm25 >= 75
AQ2025-001-2-00017,北京,华北,2025-01-01 16:00:00,127,80,PM2.5,aqi >= 101 and pm25 >= 75
AQ2025-002-2-00017,天津,华北,2025-01-01 16:00:00,123,77,PM2.5,aqi >= 101 and pm25 >= 75
AQ2025-003-1-00017,石家庄,华北,2025-01-01 16:00:00,141,90,PM2.5,aqi >= 101 and pm25 >= 75
AQ2025-003-2-00017,石家庄,华北,2025-01-01 16:00:00,153,94,PM2.5,aqi >= 101 and pm25 >= 75
AQ2025-004-1-00017,太原,华北,2025-01-01 16:00:00,127,79,PM2.5,aqi >= 101 and pm25 >= 75
AQ2025-004-2-00017,太原,华北,2025-01-01 16:00:00,138,84,PM2.5,aqi >= 101 and pm25 >= 75
AQ2025-030-2-00017,西安,西北,2025-01-01 16:00:00,123,75,PM2.5,aqi >= 101 and pm25 >= 75
AQ2025-001-1-00018,北京,华北,2025-01-01 17:00:00,117,77,PM2.5,aqi >= 101 and pm25 >= 75
AQ2025-001-2-00018,北京,华北,2025-01-01 17:00:00,128,81,PM2.5,aqi >= 101 and pm25 >= 75
AQ2025-002-2-00018,天津,华北,2025-01-01 17:00:00,124,77,PM2.5,aqi >= 101 and pm25 >= 75
AQ2025-003-1-00018,石家庄,华北,2025-01-01 17:00:00,142,90,PM2.5,aqi >= 101 and pm25 >= 75
AQ2025-003-2-00018,石家庄,华北,2025-01-01 17:00:00,153,94,PM2.5,aqi >= 101 and pm25 >= 75
AQ2025-004-1-00018,太原,华北,2025-01-01 17:00:00,127,79,PM2.5,aqi >= 101 and pm25 >= 75
AQ2025-004-2-00018,太原,华北,2025-01-01 17:00:00,138,83,PM2.5,aqi >= 101 and pm25 >= 75
AQ2025-001-1-00019,北京,华北,2025-01-01 18:00:00,127,82,PM2.5,aqi >= 101 and pm25 >= 75
AQ2025-001-2-00019,北京,华北,2025-01-01 18:00:00,137,86,PM2.5,aqi >= 101 and pm25 >= 75
AQ2025-002-1-00019,天津,华北,2025-01-01 18:00:00,123,79,PM2.5,aqi >= 101 and pm25 >= 75
AQ2025-002-2-00019,天津,华北,2025-01-01 18:00:00,132,82,PM2.5,aqi >= 101 and pm25 >= 75
AQ2025-003-1-00019,石家庄,华北,2025-01-01 18:00:00,152,95,PM2.5,aqi >= 101 and pm25 >= 75
AQ2025-003-2-00019,石家庄,华北,2025-01-01 18:00:00,161,99,PM2.5,aqi >= 101 and pm25 >= 75
AQ2025-004-1-00019,太原,华北,2025-01-01 18:00:00,137,84,PM2.5,aqi >= 101 and pm25 >= 75
AQ2025-004-2-00019,太原,华北,2025-01-01 18:00:00,146,88,PM2.5,aqi >= 101 and pm25 >= 75
AQ2025-016-2-00019,郑州,华中,2025-01-01 18:00:00,129,78,PM2.5,aqi >= 101 and pm25 >= 75
AQ2025-034-1-00019,乌鲁木齐,西北,2025-01-01 18:00:00,123,77,PM2.5,aqi >= 101 and pm25 >= 75
AQ2025-034-2-00019,乌鲁木齐,西北,2025-01-01 18:00:00,132,81,PM2.5,aqi >= 101 and pm25 >= 75
AQ2025-001-1-00020,北京,华北,2025-01-01 19:00:00,128,83,PM2.5,aqi >= 101 and pm25 >= 75
AQ2025-001-2-00020,北京,华北,2025-01-01 19:00:00,136,86,PM2.5,aqi >= 101 and pm25 >= 75
AQ2025-002-1-00020,天津,华北,2025-01-01 19:00:00,123,78,PM2.5,aqi >= 101 and pm25 >= 75
AQ2025-002-2-00020,天津,华北,2025-01-01 19:00:00,132,82,PM2.5,aqi >= 101 and pm25 >= 75
AQ2025-003-1-00020,石家庄,华北,2025-01-01 19:00:00,152,95,PM2.5,aqi >= 101 and pm25 >= 75
AQ2025-003-2-00020,石家庄,华北,2025-01-01 19:00:00,161,99,PM2.5,aqi >= 101 and pm25 >= 75
AQ2025-004-1-00020,太原,华北,2025-01-01 19:00:00,137,84,PM2.5,aqi >= 101 and pm25 >= 75
AQ2025-004-2-00020,太原,华北,2025-01-01 19:00:00,145,87,PM2.5,aqi >= 101 and pm25 >= 75
AQ2025-016-1-00020,郑州,华中,2025-01-01 19:00:00,124,76,PM2.5,aqi >= 101 and pm25 >= 75
AQ2025-016-2-00020,郑州,华中,2025-01-01 19:00:00,131,78,PM2.5,aqi >= 101 and pm25 >= 75
AQ2025-034-1-00020,乌鲁木齐,西北,2025-01-01 19:00:00,128,82,PM2.5,aqi >= 101 and pm25 >= 75
AQ2025-034-2-00020,乌鲁木齐,西北,2025-01-01 19:00:00,136,85,PM2.5,aqi >= 101 and pm25 >= 75
AQ2025-058-2-00020,宝鸡,西北,2025-01-01 19:00:00,121,76,PM2.5,aqi >= 101 and pm25 >= 75
AQ2025-001-1-00021,北京,华北,2025-01-01 20:00:00,120,77,PM2.5,aqi >= 101 and pm25 >= 75
AQ2025-001-2-00021,北京,华北,2025-01-01 20:00:00,127,80,PM2.5,aqi >= 101 and pm25 >= 75
AQ2025-002-2-00021,天津,华北,2025-01-01 20:00:00,122,76,PM2.5,aqi >= 101 and pm25 >= 75
AQ2025-003-1-00021,石家庄,华北,2025-01-01 20:00:00,143,89,PM2.5,aqi >= 101 and pm25 >= 75
AQ2025-003-2-00021,石家庄,华北,2025-01-01 20:00:00,150,92,PM2.5,aqi >= 101 and pm25 >= 75
AQ2025-004-1-00021,太原,华北,2025-01-01 20:00:00,128,78,PM2.5,aqi >= 101 and pm25 >= 75
AQ2025-004-2-00021,太原,华北,2025-01-01 20:00:00,135,81,PM2.5,aqi >= 101 and pm25 >= 75
AQ2025-034-1-00021,乌鲁木齐,西北,2025-01-01 20:00:00,125,81,PM2.5,aqi >= 101 and pm25 >= 75
AQ2025-034-2-00021,乌鲁木齐,西北,2025-01-01 20:00:00,132,84,PM2.5,aqi >= 101 and pm25 >= 75
AQ2025-001-1-00022,北京,华北,2025-01-01 21:00:00,120,77,PM2.5,aqi >= 101 and pm25 >= 75
AQ2025-001-2-00022,北京,华北,2025-01-01 21:00:00,126,80,PM2.5,aqi >= 101 and pm25 >= 75
AQ2025-002-2-00022,天津,华北,2025-01-01 21:00:00,121,75,PM2.5,aqi >= 101 and pm25 >= 75
AQ2025-003-1-00022,石家庄,华北,2025-01-01 21:00:00,143,88,PM2.5,aqi >= 101 and pm25 >= 75
AQ2025-003-2-00022,石家庄,华北,2025-01-01 21:00:00,149,91,PM2.5,aqi >= 101 and pm25 >= 75
AQ2025-004-1-00022,太原,华北,2025-01-01 21:00:00,127,76,PM2.5,aqi >= 101 and pm25 >= 75
AQ2025-004-2-00022,太原,华北,2025-01-01 21:00:00,133,80,PM2.5,aqi >= 101 and pm25 >= 75
AQ2025-034-1-00022,乌鲁木齐,西北,2025-01-01 21:00:00,128,82,PM2.5,aqi >= 101 and pm25 >= 75
AQ2025-034-2-00022,乌鲁木齐,西北,2025-01-01 21:00:00,134,85,PM2.5,aqi >= 101 and pm25 >= 75
AQ2025-001-1-00023,北京,华北,2025-01-01 22:00:00,121,77,PM2.5,aqi >= 101 and pm25 >= 75
AQ2025-001-2-00023,北京,华北,2025-01-01 22:00:00,125,80,PM2.5,aqi >= 101 and pm25 >= 75
AQ2025-002-2-00023,天津,华北,2025-01-01 22:00:00,120,75,PM2.5,aqi >= 101 and pm25 >= 75
AQ2025-003-1-00023,石家庄,华北,2025-01-01 22:00:00,143,87,PM2.5,aqi >= 101 and pm25 >= 75
AQ2025-003-2-00023,石家庄,华北,2025-01-01 22:00:00,147,90,PM2.5,aqi >= 101 and pm25 >= 75
AQ2025-004-1-00023,太原,华北,2025-01-01 22:00:00,127,76,PM2.5,aqi >= 101 and pm25 >= 75
AQ2025-004-2-00023,太原,华北,2025-01-01 22:00:00,131,78,PM2.5,aqi >= 101 and pm25 >= 75
AQ2025-016-2-00023,郑州,华中,2025-01-01 22:00:00,126,75,PM2.5,aqi >= 101 and pm25 >= 75
AQ2025-030-1-00023,西安,西北,2025-01-01 22:00:00,120,75,PM2.5,aqi >= 101 and pm25 >= 75
AQ2025-030-2-00023,西安,西北,2025-01-01 22:00:00,124,77,PM2.5,aqi >= 101 and pm25 >= 75
AQ2025-031-2-00023,兰州,西北,2025-01-01 22:00:00,119,76,PM2.5,aqi >= 101 and pm25 >= 75
AQ2025-034-1-00023,乌鲁木齐,西北,2025-01-01 22:00:00,129,81,PM2.5,aqi >= 101 and pm25 >= 75
AQ2025-034-2-00023,乌鲁木齐,西北,2025-01-01 22:00:00,133,84,PM2.5,aqi >= 101 and pm25 >= 75
AQ2025-001-1-00024,北京,华北,2025-01-01 23:00:00,121,77,PM2.5,aqi >= 101 and pm25 >= 75
AQ2025-001-2-00024,北京,华北,2025-01-01 23:00:00,124,79,PM2.5,aqi >= 101 and pm25 >= 75
AQ2025-003-1-00024,石家庄,华北,2025-01-01 23:00:00,143,87,PM2.5,aqi >= 101 and pm25 >= 75
