record_id,city,region,datetime,year_month,hour,aqi,aqi_minmax,aqi_zscore,pm25_minmax,pm10_minmax,level_code,is_rush_hour,is_heavy_pollution
AQ2025-015-1-00001,青岛,华东,2025-01-01 00:00:00,2025-01,0,69,0.354167,0.2794,0.351064,0.440994,1,0,0
AQ2025-015-2-00001,青岛,华东,2025-01-01 00:00:00,2025-01,0,74,0.388889,0.479771,0.393617,0.453416,1,0,0
AQ2025-016-1-00001,郑州,华中,2025-01-01 00:00:00,2025-01,0,117,0.6875,2.202965,0.659574,0.757764,2,0,0
AQ2025-016-2-00001,郑州,华中,2025-01-01 00:00:00,2025-01,0,122,0.722222,2.403336,0.702128,0.770186,2,0,0
AQ2025-017-1-00001,武汉,华中,2025-01-01 00:00:00,2025-01,0,92,0.513889,1.201108,0.489362,0.596273,1,0,0
AQ2025-017-2-00001,武汉,华中,2025-01-01 00:00:00,2025-01,0,97,0.548611,1.401479,0.531915,0.608696,1,0,0
AQ2025-018-1-00001,长沙,华中,2025-01-01 00:00:00,2025-01,0,86,0.472222,0.960663,0.446809,0.546584,1,0,0
AQ2025-018-2-00001,长沙,华中,2025-01-01 00:00:00,2025-01,0,91,0.506944,1.161034,0.489362,0.559006,1,0,0
AQ2025-019-1-00001,广州,华南,2025-01-01 00:00:00,2025-01,0,57,0.270833,-0.201491,0.255319,0.341615,1,0,0
AQ2025-019-2-00001,广州,华南,2025-01-01 00:00:00,2025-01,0,61,0.298611,-0.041194,0.287234,0.354037,1,0,0
AQ2025-020-1-00001,深圳,华南,2025-01-01 00:00:00,2025-01,0,54,0.25,-0.321714,0.234043,0.310559,1,0,0
AQ2025-020-2-00001,深圳,华南,2025-01-01 00:00:00,2025-01,0,58,0.277778,-0.161417,0.276596,0.31677,1,0,0
AQ2025-021-1-00001,珠海,华南,2025-01-01 00:00:00,2025-01,0,50,0.222222,-0.482011,0.202128,0.267081,0,0,0
AQ2025-021-2-00001,珠海,华南,2025-01-01 00:00:00,2025-01,0,54,0.25,-0.321714,0.244681,0.273292,1,0,0
AQ2025-022-1-00001,佛山,华南,2025-01-01 00:00:00,2025-01,0,64,0.319444,0.079029,0.297872,0.341615,1,0,0
AQ2025-022-2-00001,佛山,华南,2025-01-01 00:00:00,2025-01,0,68,0.347222,0.239326,0.340426,0.354037,1,0,0
AQ2025-023-1-00001,南宁,华南,2025-01-01 00:00:00,2025-01,0,56,0.263889,-0.241565,0.255319,0.285714,1,0,0
AQ2025-023-2-00001,南宁,华南,2025-01-01 00:00:00,2025-01,0,59,0.284722,-0.121342,0.287234,0.285714,1,0,0
AQ2025-024-1-00001,海口,华南,2025-01-01 00:00:00,2025-01,0,45,0.1875,-0.682382,0.180851,0.21118,0,0,0
AQ2025-024-2-00001,海口,华南,2025-01-01 00:00:00,2025-01,0,49,0.215278,-0.522085,0.223404,0.217391,0,0,0
AQ2025-025-1-00001,重庆,西南,2025-01-01 00:00:00,2025-01,0,82,0.444444,0.800366,0.43617,0.453416,1,0,0
AQ2025-025-2-00001,重庆,西南,2025-01-01 00:00:00,2025-01,0,86,0.472222,0.960663,0.468085,0.459627,1,0,0
AQ2025-026-1-00001,成都,西南,2025-01-01 00:00:00,2025-01,0,89,0.493056,1.080885,0.489362,0.509317,1,0,0
AQ2025-026-2-00001,成都,西南,2025-01-01 00:00:00,2025-01,0,93,0.520833,1.241182,0.521277,0.515528,1,0,0
AQ2025-027-1-00001,贵阳,西南,2025-01-01 00:00:00,2025-01,0,57,0.270833,-0.201491,0.276596,0.31677,1,0,0
AQ2025-027-2-00001,贵阳,西南,2025-01-01 00:00:00,2025-01,0,62,0.305556,-0.00112,0.329787,0.329193,1,0,0
AQ2025-028-1-00001,昆明,西南,2025-01-01 00:00:00,2025-01,0,55,0.256944,-0.281639,0.276596,0.31677,1,0,0
AQ2025-028-2-00001,昆明,西南,2025-01-01 00:00:00,2025-01,0,59,0.284722,-0.121342,0.308511,0.322981,1,0,0
AQ2025-029-1-00001,拉萨,西南,2025-01-01 00:00:00,2025-01,0,48,0.208333,-0.562159,0.234043,0.285714,0,0,0
AQ2025-029-2-00001,拉萨,西南,2025-01-01 00:00:00,2025-01,0,52,0.236111,-0.401862,0.276596,0.291925,1,0,0
AQ2025-030-1-00001,西安,西北,2025-01-01 00:00:00,2025-01,0,120,0.708333,2.323187,0.712766,0.770186,2,0,0
AQ2025-030-2-00001,西安,西北,2025-01-01 00:00:00,2025-01,0,125,0.743056,2.523559,0.765957,0.782609,2,0,0
AQ2025-031-1-00001,兰州,西北,2025-01-01 00:00:00,2025-01,0,113,0.659722,2.042668,0.680851,0.732919,2,0,0
AQ2025-031-2-00001,兰州,西北,2025-01-01 00:00:00,2025-01,0,118,0.694444,2.243039,0.723404,0.745342,2,0,0
AQ2025-032-1-00001,西宁,西北,2025-01-01 00:00:00,2025-01,0,84,0.458333,0.880514,0.489362,0.540373,1,0,0
AQ2025-032-2-00001,西宁,西北,2025-01-01 00:00:00,2025-01,0,89,0.493056,1.080885,0.531915,0.559006,1,0,0
AQ2025-033-1-00001,银川,西北,2025-01-01 00:00:00,2025-01,0,98,0.555556,1.441554,0.585106,0.627329,1,0,0
AQ2025-033-2-00001,银川,西北,2025-01-01 00:00:00,2025-01,0,103,0.590278,1.641925,0.62766,0.639752,2,0,0
AQ2025-034-1-00001,乌鲁木齐,西北,2025-01-01 00:00:00,2025-01,0,125,0.743056,2.523559,0.765957,0.795031,2,0,0
AQ2025-034-2-00001,乌鲁木齐,西北,2025-01-01 00:00:00,2025-01,0,130,0.777778,2.72393,0.808511,0.807453,2,0,0
AQ2025-035-1-00001,沈阳,东北,2025-01-01 00:00:00,2025-01,0,100,0.569444,1.521702,0.606383,0.614907,1,0,0
AQ2025-035-2-00001,沈阳,东北,2025-01-01 00:00:00,2025-01,0,105,0.604167,1.722074,0.648936,0.627329,2,0,0
AQ2025-036-1-00001,大连,东北,2025-01-01 00:00:00,2025-01,0,74,0.388889,0.479771,0.43617,0.428571,1,0,0
AQ2025-036-2-00001,大连,东北,2025-01-01 00:00:00,2025-01,0,79,0.423611,0.680143,0.478723,0.440994,1,0,0
AQ2025-037-1-00001,长春,东北,2025-01-01 00:00:00,2025-01,0,96,0.541667,1.361405,0.574468,0.559006,1,0,0
AQ2025-037-2-00001,长春,东北,2025-01-01 00:00:00,2025-01,0,101,0.576389,1.561776,0.617021,0.571429,2,0,0
AQ2025-038-1-00001,哈尔滨,东北,2025-01-01 00:00:00,2025-01,0,102,0.583333,1.601851,0.617021,0.583851,2,0,0
AQ2025-038-2-00001,哈尔滨,东北,2025-01-01 00:00:00,2025-01,0,107,0.618056,1.802222,0.659574,0.602484,2,0,0
AQ2025-039-1-00001,苏州,华东,2025-01-01 00:00:00,2025-01,0,74,0.388889,0.479771,0.425532,0.397516,1,0,0
AQ2025-039-2-00001,苏州,华东,2025-01-01 00:00:00,2025-01,0,78,0.416667,0.640069,0.468085,0.403727,1,0,0
AQ2025-040-1-00001,无锡,华东,2025-01-01 00:00:00,2025-01,0,76,0.402778,0.55992,0.43617,0.409938,1,0,0
AQ2025-040-2-00001,无锡,华东,2025-01-01 00:00:00,2025-01,0,80,0.430556,0.720217,0.468085,0.416149,1,0,0
AQ2025-041-1-00001,常州,华东,2025-01-01 00:00:00,2025-01,0,79,0.423611,0.680143,0.446809,0.440994,1,0,0
AQ2025-041-2-00001,常州,华东,2025-01-01 00:00:00,2025-01,0,84,0.458333,0.880514,0.489362,0.453416,1,0,0
AQ2025-042-1-00001,温州,华东,2025-01-01 00:00:00,2025-01,0,67,0.340278,0.199252,0.361702,0.372671,1,0,0
AQ2025-042-2-00001,温州,华东,2025-01-01 00:00:00,2025-01,0,71,0.368056,0.359549,0.404255,0.378882,1,0,0
AQ2025-043-1-00001,绍兴,华东,2025-01-01 00:00:00,2025-01,0,73,0.381944,0.439697,0.393617,0.428571,1,0,0
AQ2025-043-2-00001,绍兴,华东,2025-01-01 00:00:00,2025-01,0,78,0.416667,0.640069,0.43617,0.440994,1,0,0
AQ2025-044-1-00001,金华,华东,2025-01-01 00:00:00,2025-01,0,71,0.368056,0.359549,0.37234,0.428571,1,0,0
AQ2025-044-2-00001,金华,华东,2025-01-01 00:00:00,2025-01,0,76,0.402778,0.55992,0.414894,0.447205,1,0,0
AQ2025-045-1-00001,泉州,华东,2025-01-01 00:00:00,2025-01,0,66,0.333333,0.159177,0.329787,0.409938,1,0,0
AQ2025-045-2-00001,泉州,华东,2025-01-01 00:00:00,2025-01,0,70,0.361111,0.319474,0.37234,0.42236,1,0,0
AQ2025-046-1-00001,烟台,华东,2025-01-01 00:00:00,2025-01,0,75,0.395833,0.519846,0.382979,0.478261,1,0,0
AQ2025-046-2-00001,烟台,华东,2025-01-01 00:00:00,2025-01,0,80,0.430556,0.720217,0.43617,0.496894,1,0,0
AQ2025-047-1-00001,潍坊,华东,2025-01-01 00:00:00,2025-01,0,92,0.513889,1.201108,0.489362,0.596273,1,0,0
AQ2025-047-2-00001,潍坊,华东,2025-01-01 00:00:00,2025-01,0,96,0.541667,1.361405,0.531915,0.602484,1,0,0
AQ2025-048-1-00001,洛阳,华中,2025-01-01 00:00:00,2025-01,0,113,0.659722,2.042668,0.62766,0.726708,2,0,0
AQ2025-048-2-00001,洛阳,华中,2025-01-01 00:00:00,2025-01,0,118,0.694444,2.243039,0.670213,0.745342,2,0,0
AQ2025-049-1-00001,宜昌,华中,2025-01-01 00:00:00,2025-01,0,82,0.444444,0.800366,0.414894,0.515528,1,0,0
AQ2025-049-2-00001,宜昌,华中,2025-01-01 00:00:00,2025-01,0,86,0.472222,0.960663,0.457447,0.52795,1,0,0
AQ2025-050-1-00001,株洲,华中,2025-01-01 00:00:00,2025-01,0,94,0.527778,1.281257,0.5,0.583851,1,0,0
AQ2025-050-2-00001,株洲,华中,2025-01-01 00:00:00,2025-01,0,99,0.5625,1.481628,0.542553,0.596273,1,0,0
AQ2025-051-1-00001,东莞,华南,2025-01-01 00:00:00,2025-01,0,62,0.305556,-0.00112,0.287234,0.360248,1,0,0
AQ2025-051-2-00001,东莞,华南,2025-01-01 00:00:00,2025-01,0,65,0.326389,0.119103,0.319149,0.360248,1,0,0
AQ2025-052-1-00001,中山,华南,2025-01-01 00:00:00,2025-01,0,58,0.277778,-0.161417,0.255319,0.31677,1,0,0
AQ2025-052-2-00001,中山,华南,2025-01-01 00:00:00,2025-01,0,62,0.305556,-0.00112,0.297872,0.322981,1,0,0
AQ2025-053-1-00001,惠州,华南,2025-01-01 00:00:00,2025-01,0,56,0.263889,-0.241565,0.244681,0.291925,1,0,0
AQ2025-053-2-00001,惠州,华南,2025-01-01 00:00:00,2025-01,0,59,0.284722,-0.121342,0.276596,0.291925,1,0,0
AQ2025-054-1-00001,桂林,华南,2025-01-01 00:00:00,2025-01,0,52,0.236111,-0.401862,0.223404,0.254658,1,0,0
AQ2025-054-2-00001,桂林,华南,2025-01-01 00:00:00,2025-01,0,56,0.263889,-0.241565,0.265957,0.26087,1,0,0
AQ2025-055-1-00001,绵阳,西南,2025-01-01 00:00:00,2025-01,0,73,0.381944,0.439697,0.37234,0.391304,1,0,0
AQ2025-055-2-00001,绵阳,西南,2025-01-01 00:00:00,2025-01,0,78,0.416667,0.640069,0.414894,0.403727,1,0,0
AQ2025-056-1-00001,遵义,西南,2025-01-01 00:00:00,2025-01,0,62,0.305556,-0.00112,0.297872,0.322981,1,0,0
AQ2025-056-2-00001,遵义,西南,2025-01-01 00:00:00,2025-01,0,66,0.333333,0.159177,0.340426,0.329193,1,0,0
AQ2025-057-1-00001,大理,西南,2025-01-01 00:00:00,2025-01,0,53,0.243056,-0.361788,0.244681,0.273292,1,0,0
AQ2025-057-2-00001,大理,西南,2025-01-01 00:00:00,2025-01,0,57,0.270833,-0.201491,0.287234,0.285714,1,0,0
AQ2025-058-1-00001,宝鸡,西北,2025-01-01 00:00:00,2025-01,0,104,0.597222,1.681999,0.595745,0.621118,2,0,0
AQ2025-058-2-00001,宝鸡,西北,2025-01-01 00:00:00,2025-01,0,110,0.638889,1.922445,0.648936,0.645963,2,0,0
AQ2025-059-1-00001,嘉峪关,西北,2025-01-01 00:00:00,2025-01,0,96,0.541667,1.361405,0.542553,0.590062,1,0,0
AQ2025-059-2-00001,嘉峪关,西北,2025-01-01 00:00:00,2025-01,0,101,0.576389,1.561776,0.595745,0.602484,2,0,0
AQ2025-060-1-00001,齐齐哈尔,东北,2025-01-01 00:00:00,2025-01,0,96,0.541667,1.361405,0.553191,0.602484,1,0,0
AQ2025-060-2-00001,齐齐哈尔,东北,2025-01-01 00:00:00,2025-01,0,101,0.576389,1.561776,0.595745,0.614907,2,0,0
AQ2025-001-1-00002,北京,华北,2025-01-01 01:00:00,2025-01,1,111,0.645833,1.962519,0.670213,0.720497,2,0,0
AQ2025-001-2-00002,北京,华北,2025-01-01 01:00:00,2025-01,1,116,0.680556,2.16289,0.723404,0.726708,2,0,0
AQ2025-002-1-00002,天津,华北,2025-01-01 01:00:00,2025-01,1,107,0.618056,1.802222,0.648936,0.689441,2,0,0
AQ2025-002-2-00002,天津,华北,2025-01-01 01:00:00,2025-01,1,112,0.652778,2.002593,0.691489,0.695652,2,0,0
AQ2025-003-1-00002,石家庄,华北,2025-01-01 01:00:00,2025-01,1,137,0.826389,3.00445,0.851064,0.869565,2,0,0
AQ2025-003-2-00002,石家庄,华北,2025-01-01 01:00:00,2025-01,1,142,0.861111,3.204821,0.893617,0.881988,2,0,0
AQ2025-004-1-00002,太原,华北,2025-01-01 01:00:00,2025-01,1,123,0.729167,2.44341,0.755319,0.763975,2,0,0
AQ2025-004-2-00002,太原,华北,2025-01-01 01:00:00,2025-01,1,129,0.770833,2.683856,0.808511,0.776398,2,0,0
AQ2025-005-1-00002,呼和浩特,华北,2025-01-01 01:00:00,2025-01,1,103,0.590278,1.641925,0.62766,0.614907,2,0,0
AQ2025-005-2-00002,呼和浩特,华北,2025-01-01 01:00:00,2025-01,1,109,0.631944,1.882371,0.680851,0.63354,2,0,0
AQ2025-006-1-00002,上海,华东,2025-01-01 01:00:00,2025-01,1,70,0.361111,0.319474,0.404255,0.385093,1,0,0
AQ2025-006-2-00002,上海,华东,2025-01-01 01:00:00,2025-01,1,74,0.388889,0.479771,0.446809,0.391304,1,0,0
AQ2025-007-1-00002,南京,华东,2025-01-01 01:00:00,2025-01,1,82,0.444444,0.800366,0.478723,0.453416,1,0,0
AQ2025-007-2-00002,南京,华东,2025-01-01 01:00:00,2025-01,1,86,0.472222,0.960663,0.521277,0.453416,1,0,0
AQ2025-008-1-00002,杭州,华东,2025-01-01 01:00:00,2025-01,1,74,0.388889,0.479771,0.425532,0.397516,1,0,0
AQ2025-008-2-00002,杭州,华东,2025-01-01 01:00:00,2025-01,1,78,0.416667,0.640069,0.468085,0.397516,1,0,0
AQ2025-009-1-00002,宁波,华东,2025-01-01 01:00:00,2025-01,1,68,0.347222,0.239326,0.37234,0.360248,1,0,0
AQ2025-009-2-00002,宁波,华东,2025-01-01 01:00:00,2025-01,1,72,0.375,0.399623,0.414894,0.360248,1,0,0
AQ2025-010-1-00002,合肥,华东,2025-01-01 01:00:00,2025-01,1,80,0.430556,0.720217,0.446809,0.447205,1,0,0
AQ2025-010-2-00002,合肥,华东,2025-01-01 01:00:00,2025-01,1,84,0.458333,0.880514,0.489362,0.453416,1,0,0
AQ2025-011-1-00002,福州,华东,2025-01-01 01:00:00,2025-01,1,62,0.305556,-0.00112,0.319149,0.347826,1,0,0
AQ2025-011-2-00002,福州,华东,2025-01-01 01:00:00,2025-01,1,67,0.340278,0.199252,0.37234,0.354037,1,0,0
AQ2025-012-1-00002,厦门,华东,2025-01-01 01:00:00,2025-01,1,57,0.270833,-0.201491,0.287234,0.329193,1,0,0
AQ2025-012-2-00002,厦门,华东,2025-01-01 01:00:00,2025-01,1,61,0.298611,-0.041194,0.319149,0.335404,1,0,0
AQ2025-013-1-00002,南昌,华东,2025-01-01 01:00:00,2025-01,1,77,0.409722,0.599994,0.404255,0.478261,1,0,0
AQ2025-013-2-00002,南昌,华东,2025-01-01 01:00:00,2025-01,1,81,0.4375,0.760291,0.446809,0.478261,1,0,0
AQ2025-014-1-00002,济南,华东,2025-01-01 01:00:00,2025-01,1,99,0.5625,1.481628,0.542553,0.63354,1,0,0
AQ2025-014-2-00002,济南,华东,2025-01-01 01:00:00,2025-01,1,103,0.590278,1.641925,0.585106,0.63354,2,0,0
AQ2025-015-1-00002,青岛,华东,2025-01-01 01:00:00,2025-01,1,71,0.368056,0.359549,0.351064,0.459627,1,0,0
AQ2025-015-2-00002,青岛,华东,2025-01-01 01:00:00,2025-01,1,75,0.395833,0.519846,0.393617,0.459627,1,0,0
AQ2025-016-1-00002,郑州,华中,2025-01-01 01:00:00,2025-01,1,118,0.694444,2.243039,0.659574,0.763975,2,0,0
AQ2025-016-2-00002,郑州,华中,2025-01-01 01:00:00,2025-01,1,123,0.729167,2.44341,0.712766,0.770186,2,0,0
AQ2025-017-1-00002,武汉,华中,2025-01-01 01:00:00,2025-01,1,94,0.527778,1.281257,0.5,0.602484,1,0,0
AQ2025-017-2-00002,武汉,华中,2025-01-01 01:00:00,2025-01,1,99,0.5625,1.481628,0.542553,0.608696,1,0,0
AQ2025-018-1-00002,长沙,华中,2025-01-01 01:00:00,2025-01,1,88,0.486111,1.040811,0.457447,0.546584,1,0,0
AQ2025-018-2-00002,长沙,华中,2025-01-01 01:00:00,2025-01,1,93,0.520833,1.241182,0.510638,0.559006,1,0,0
AQ2025-019-1-00002,广州,华南,2025-01-01 01:00:00,2025-01,1,58,0.277778,-0.161417,0.265957,0.335404,1,0,0
AQ2025-019-2-00002,广州,华南,2025-01-01 01:00:00,2025-01,1,62,0.305556,-0.00112,0.297872,0.335404,1,0,0
AQ2025-020-1-00002,深圳,华南,2025-01-01 01:00:00,2025-01,1,55,0.256944,-0.281639,0.244681,0.298137,1,0,0
AQ2025-020-2-00002,深圳,华南,2025-01-01 01:00:00,2025-01,1,59,0.284722,-0.121342,0.287234,0.304348,1,0,0
AQ2025-021-1-00002,珠海,华南,2025-01-01 01:00:00,2025-01,1,51,0.229167,-0.441936,0.223404,0.26087,1,0,0
AQ2025-021-2-00002,珠海,华南,2025-01-01 01:00:00,2025-01,1,55,0.256944,-0.281639,0.265957,0.26087,1,0,0
AQ2025-022-1-00002,佛山,华南,2025-01-01 01:00:00,2025-01,1,66,0.333333,0.159177,0.319149,0.347826,1,0,0
AQ2025-022-2-00002,佛山,华南,2025-01-01 01:00:00,2025-01,1,69,0.354167,0.2794,0.361702,0.341615,1,0,0
AQ2025-023-1-00002,南宁,华南,2025-01-01 01:00:00,2025-01,1,57,0.270833,-0.201491,0.265957,0.285714,1,0,0
AQ2025-023-2-00002,南宁,华南,2025-01-01 01:00:00,2025-01,1,61,0.298611,-0.041194,0.308511,0.285714,1,0,0
AQ2025-024-1-00002,海口,华南,2025-01-01 01:00:00,2025-01,1,46,0.194444,-0.642308,0.202128,0.217391,0,0,0
AQ2025-024-2-00002,海口,华南,2025-01-01 01:00:00,2025-01,1,50,0.222222,-0.482011,0.244681,0.223602,0,0,0
AQ2025-025-1-00002,重庆,西南,2025-01-01 01:00:00,2025-01,1,84,0.458333,0.880514,0.457447,0.478261,1,0,0
AQ2025-025-2-00002,重庆,西南,2025-01-01 01:00:00,2025-01,1,88,0.486111,1.040811,0.5,0.478261,1,0,0
AQ2025-026-1-00002,成都,西南,2025-01-01 01:00:00,2025-01,1,91,0.506944,1.161034,0.521277,0.540373,1,0,0
AQ2025-026-2-00002,成都,西南,2025-01-01 01:00:00,2025-01,1,95,0.534722,1.321331,0.553191,0.540373,1,0,0
AQ2025-027-1-00002,贵阳,西南,2025-01-01 01:00:00,2025-01,1,59,0.284722,-0.121342,0.308511,0.347826,1,0,0
AQ2025-027-2-00002,贵阳,西南,2025-01-01 01:00:00,2025-01,1,63,0.3125,0.038955,0.351064,0.347826,1,0,0
AQ2025-028-1-00002,昆明,西南,2025-01-01 01:00:00,2025-01,1,57,0.270833,-0.201491,0.308511,0.347826,1,0,0
AQ2025-028-2-00002,昆明,西南,2025-01-01 01:00:00,2025-01,1,61,0.298611,-0.041194,0.351064,0.354037,1,0,0
AQ2025-029-1-00002,拉萨,西南,2025-01-01 01:00:00,2025-01,1,50,0.222222,-0.482011,0.265957,0.31677,0,0,0
AQ2025-029-2-00002,拉萨,西南,2025-01-01 01:00:00,2025-01,1,54,0.25,-0.321714,0.308511,0.31677,1,0,0
AQ2025-030-1-00002,西安,西北,2025-01-01 01:00:00,2025-01,1,122,0.722222,2.403336,0.744681,0.78882,2,0,0
AQ2025-030-2-00002,西安,西北,2025-01-01 01:00:00,2025-01,1,127,0.756944,2.603707,0.797872,0.801242,2,0,0
AQ2025-031-1-00002,兰州,西北,2025-01-01 01:00:00,2025-01,1,115,0.673611,2.122816,0.702128,0.745342,2,0,0
AQ2025-031-2-00002,兰州,西北,2025-01-01 01:00:00,2025-01,1,120,0.708333,2.323187,0.755319,0.751553,2,0,0
AQ2025-032-1-00002,西宁,西北,2025-01-01 01:00:00,2025-01,1,86,0.472222,0.960663,0.510638,0.546584,1,0,0
AQ2025-032-2-00002,西宁,西北,2025-01-01 01:00:00,2025-01,1,91,0.506944,1.161034,0.56383,0.552795,1,0,0
AQ2025-033-1-00002,银川,西北,2025-01-01 01:00:00,2025-01,1,100,0.569444,1.521702,0.606383,0.621118,1,0,0
AQ2025-033-2-00002,银川,西北,2025-01-01 01:00:00,2025-01,1,105,0.604167,1.722074,0.648936,0.63354,2,0,0
AQ2025-034-1-00002,乌鲁木齐,西北,2025-01-01 01:00:00,2025-01,1,127,0.756944,2.603707,0.776596,0.782609,2,0,0
AQ2025-034-2-00002,乌鲁木齐,西北,2025-01-01 01:00:00,2025-01,1,132,0.791667,2.804079,0.829787,0.78882,2,0,0
AQ2025-035-1-00002,沈阳,东北,2025-01-01 01:00:00,2025-01,1,102,0.583333,1.601851,0.617021,0.602484,2,0,0
AQ2025-035-2-00002,沈阳,东北,2025-01-01 01:00:00,2025-01,1,106,0.611111,1.762148,0.659574,0.602484,2,0,0
AQ2025-036-1-00002,大连,东北,2025-01-01 01:00:00,2025-01,1,76,0.402778,0.55992,0.43617,0.42236,1,0,0
AQ2025-036-2-00002,大连,东北,2025-01-01 01:00:00,2025-01,1,80,0.430556,0.720217,0.478723,0.42236,1,0,0
AQ2025-037-1-00002,长春,东北,2025-01-01 01:00:00,2025-01,1,98,0.555556,1.441554,0.574468,0.559006,1,0,0
AQ2025-037-2-00002,长春,东北,2025-01-01 01:00:00,2025-01,1,102,0.583333,1.601851,0.617021,0.559006,2,0,0
AQ2025-038-1-00002,哈尔滨,东北,2025-01-01 01:00:00,2025-01,1,104,0.597222,1.681999,0.606383,0.596273,2,0,0
AQ2025-038-2-00002,哈尔滨,东北,2025-01-01 01:00:00,2025-01,1,108,0.625,1.842296,0.648936,0.596273,2,0,0
AQ2025-039-1-00002,苏州,华东,2025-01-01 01:00:00,2025-01,1,75,0.395833,0.519846,0.414894,0.409938,1,0,0
AQ2025-039-2-00002,苏州,华东,2025-01-01 01:00:00,2025-01,1,80,0.430556,0.720217,0.457447,0.416149,1,0,0
AQ2025-040-1-00002,无锡,华东,2025-01-01 01:00:00,2025-01,1,77,0.409722,0.599994,0.414894,0.434783,1,0,0
AQ2025-040-2-00002,无锡,华东,2025-01-01 01:00:00,2025-01,1,81,0.4375,0.760291,0.457447,0.434783,1,0,0
AQ2025-041-1-00002,常州,华东,2025-01-01 01:00:00,2025-01,1,81,0.4375,0.760291,0.43617,0.478261,1,0,0
AQ2025-041-2-00002,常州,华东,2025-01-01 01:00:00,2025-01,1,85,0.465278,0.920588,0.478723,0.478261,1,0,0
