city,province,region,longitude,latitude,avg_aqi,avg_pm25,avg_pm10,z_aqi,spatial_lag_z,local_moran_i,p_value,significant,cluster,neighbors
石家庄,河北省,华北,114.5149,38.0428,117.42,72.81,123.29,2.673836,1.404249,3.754733,0.001,True,High-High,太原|天津|北京|济南|郑州|呼和浩特
福州,福建省,华东,119.2965,26.0745,45.02,27.91,47.27,-0.821165,-0.613253,0.503582,0.164,False,Not significant,泉州|厦门|温州|金华|南昌|绍兴
绍兴,浙江省,华东,120.5802,30.0303,53.28,33.03,55.95,-0.422237,-0.400094,0.168935,0.501,False,Not significant,杭州|宁波|金华|苏州|上海|无锡
绵阳,四川省,西南,104.6796,31.4675,54.1,33.54,56.8,-0.382652,0.629407,-0.240844,0.372,False,Not significant,成都|重庆|宝鸡|遵义|西安|兰州
苏州,江苏省,华东,120.5853,31.2989,54.2,33.6,56.9,-0.377893,-0.340868,0.128812,0.575,False,Not significant,无锡|常州|上海|杭州|绍兴|宁波
西宁,青海省,西北,101.7782,36.6171,62.44,38.71,65.57,0.020031,0.805742,0.016139,0.927,False,Not significant,兰州|银川|嘉峪关|宝鸡|绵阳|西安
西安,陕西省,西北,108.9398,34.3416,98.49,61.06,103.41,1.7597,1.213116,2.134721,0.001,True,High-High,宝鸡|洛阳|郑州|宜昌|兰州|太原
贵阳,贵州省,西南,106.6302,26.647,40.41,25.06,42.44,-1.043297,-0.628065,0.655259,0.096,False,Not significant,遵义|重庆|桂林|昆明|南宁|成都
遵义,贵州省,西南,106.927,27.7257,42.94,26.62,45.09,-0.921219,-0.539109,0.496638,0.184,False,Not significant,贵阳|重庆|成都|桂林|绵阳|昆明
郑州,河南省,华中,113.6254,34.7466,97.83,60.65,102.72,1.728097,1.548644,2.676207,0.001,True,High-High,洛阳|太原|石家庄|济南|西安|武汉
重庆,重庆市,西南,106.5516,29.563,65.28,40.48,68.55,0.157188,-0.18518,-0.029108,0.885,False,Not significant,遵义|成都|绵阳|贵阳|宜昌|宝鸡
金华,浙江省,华东,119.6474,29.0792,51.43,31.89,54.0,-0.511443,-0.437007,0.223504,0.423,False,Not significant,绍兴|杭州|温州|宁波|苏州|无锡
银川,宁夏回族自治区,西北,106.2309,38.4872,76.23,47.26,80.03,0.68528,1.188024,0.814129,0.044,True,High-High,兰州|西宁|宝鸡|西安|呼和浩特|太原
长春,吉林省,东北,125.3235,43.8171,74.91,46.44,78.66,0.621832,0.491971,0.305923,0.301,False,Not significant,哈尔滨|沈阳|齐齐哈尔|大连|烟台|北京
长沙,湖南省,华中,112.9388,28.2282,67.23,41.68,70.58,0.250882,-0.260148,-0.065266,0.709,False,Not significant,株洲|南昌|武汉|宜昌|桂林|广州
青岛,山东省,华东,120.3826,36.0671,52.36,32.46,54.98,-0.466865,0.335557,-0.15666,0.535,False,Not significant,潍坊|烟台|济南|大连|天津|南京
齐齐哈尔,黑龙江省,东北,123.9182,47.3543,72.91,45.21,76.56,0.525248,0.773087,0.406062,0.243,False,Not significant,哈尔滨|长春|沈阳|大连|北京|天津
