city,province,region,year_month,record_count,avg_aqi,max_aqi,good_rate,avg_pm25,avg_pm10,avg_so2,avg_no2
东莞,广东省,华南,2025-11,1440,51.21,70,1.0,31.75,53.75,7.6,11.69
东莞,广东省,华南,2025-12,1488,56.57,75,1.0,35.07,59.4,6.03,12.81
中山,广东省,华南,2025-01,1488,54.45,71,1.0,33.76,57.16,6.85,12.37
中山,广东省,华南,2025-02,1344,52.52,71,1.0,32.57,55.16,7.7,11.97
中山,广东省,华南,2025-03,1488,47.44,66,1.0,29.41,49.81,5.29,10.9
中山,广东省,华南,2025-04,1440,40.73,59,1.0,25.26,42.76,5.77,9.53
中山,广东省,华南,2025-05,1488,33.69,52,1.0,20.89,35.37,6.18,8.25
中山,广东省,华南,2025-06,1440,28.54,47,1.0,17.69,29.98,3.78,7.53
中山,广东省,华南,2025-07,1488,26.84,44,1.0,16.63,28.2,4.64,7.34
中山,广东省,华南,2025-08,1488,28.38,46,1.0,17.62,29.77,5.77,7.52
中山,广东省,华南,2025-09,1440,33.68,53,1.0,20.87,35.39,4.19,8.23
中山,广东省,华南,2025-10,1488,40.65,60,1.0,25.21,42.65,5.76,9.5
中山,广东省,华南,2025-11,1440,47.29,66,1.0,29.31,49.64,7.29,10.86
中山,广东省,华南,2025-12,1488,52.7,70,1.0,32.66,55.33,5.71,12.01
乌鲁木齐,新疆维吾尔自治区,西北,2025-01,1488,121.74,145,0.0,75.49,127.81,12.24,26.51
乌鲁木齐,新疆维吾尔自治区,西北,2025-02,1344,119.07,143,0.0022,73.81,125.0,13.03,25.93
乌鲁木齐,新疆维吾尔自治区,西北,2025-03,1488,112.18,138,0.0847,69.55,117.8,10.48,24.49
乌鲁木齐,新疆维吾尔自治区,西北,2025-04,1440,103.07,128,0.3903,63.9,108.22,10.75,22.56
乌鲁木齐,新疆维吾尔自治区,西北,2025-05,1488,93.43,118,0.7883,57.92,98.08,10.98,20.56
乌鲁木齐,新疆维吾尔自治区,西北,2025-06,1440,86.4,112,0.9632,53.56,90.73,8.42,19.08
乌鲁木齐,新疆维吾尔自治区,西北,2025-07,1488,84.03,107,0.9866,52.12,88.23,9.22,18.58
乌鲁木齐,新疆维吾尔自治区,西北,2025-08,1488,86.17,109,0.9543,53.41,90.46,10.38,19.03
乌鲁木齐,新疆维吾尔自治区,西北,2025-09,1440,93.47,118,0.7917,57.94,98.18,8.97,20.56
乌鲁木齐,新疆维吾尔自治区,西北,2025-10,1488,102.96,129,0.3911,63.85,108.1,10.73,22.55
乌鲁木齐,新疆维吾尔自治区,西北,2025-11,1440,111.98,137,0.0868,69.45,117.55,12.45,24.45
乌鲁木齐,新疆维吾尔自治区,西北,2025-12,1488,119.25,143,0.0047,73.91,125.24,11.03,25.98
佛山,广东省,华南,2025-01,1488,63.07,80,1.0,39.08,66.19,7.56,14.18
佛山,广东省,华南,2025-02,1344,61.11,78,1.0,37.92,64.19,8.38,13.76
佛山,广东省,华南,2025-03,1488,56.02,75,1.0,34.73,58.82,5.98,12.69
佛山,广东省,华南,2025-04,1440,49.31,69,1.0,30.58,51.78,6.45,11.29
佛山,广东省,华南,2025-05,1488,42.26,59,1.0,26.18,44.35,6.9,9.9
佛山,广东省,华南,2025-06,1440,37.05,55,1.0,22.98,38.94,4.47,9.0
佛山,广东省,华南,2025-07,1488,35.3,52,1.0,21.88,37.07,5.32,8.73
佛山,广东省,华南,2025-08,1488,36.93,56,1.0,22.92,38.74,6.44,9.0
佛山,广东省,华南,2025-09,1440,42.23,62,1.0,26.16,44.38,4.89,9.92
佛山,广东省,华南,2025-10,1488,49.23,69,1.0,30.54,51.67,6.45,11.29
佛山,广东省,华南,2025-11,1440,55.86,73,1.0,34.64,58.64,7.96,12.66
佛山,广东省,华南,2025-12,1488,61.27,80,1.0,37.99,64.34,6.39,13.82
兰州,甘肃省,西北,2025-01,1488,110.09,133,0.1196,68.28,115.61,11.29,24.06
兰州,甘肃省,西北,2025-02,1344,107.42,131,0.2098,66.58,112.8,12.09,23.49
兰州,甘肃省,西北,2025-03,1488,100.51,126,0.506,62.31,105.51,9.54,22.05
兰州,甘肃省,西北,2025-04,1440,91.38,117,0.8528,56.65,95.94,9.83,20.12
兰州,甘肃省,西北,2025-05,1488,81.84,106,0.9866,50.77,85.95,10.03,18.12
兰州,甘肃省,西北,2025-06,1440,74.75,99,1.0,46.34,78.46,7.48,16.64
兰州,甘肃省,西北,2025-07,1488,72.33,95,1.0,44.82,75.94,8.29,16.12
兰州,甘肃省,西北,2025-08,1488,74.57,97,1.0,46.25,78.28,9.47,16.6
兰州,甘肃省,西北,2025-09,1440,81.78,108,0.9868,50.69,85.87,8.04,18.12
兰州,甘肃省,西北,2025-10,1488,91.26,118,0.8448,56.59,95.84,9.8,20.08
兰州,甘肃省,西北,2025-11,1440,100.35,126,0.5063,62.24,105.35,11.53,22.0
兰州,甘肃省,西北,2025-12,1488,107.59,132,0.2097,66.69,112.96,10.1,23.53
北京,北京市,华北,2025-01,1488,112.8,137,0.1001,69.96,118.49,11.53,24.62
北京,北京市,华北,2025-02,1344,110.26,136,0.1421,68.46,115.85,12.33,24.09
北京,北京市,华北,2025-03,1488,102.67,129,0.4106,63.67,107.78,9.72,22.47
北京,北京市,华北,2025-04,1440,92.71,119,0.809,57.42,97.35,9.93,20.42
北京,北京市,华北,2025-05,1488,82.72,110,0.9711,51.3,86.87,10.11,18.31
北京,北京市,华北,2025-06,1440,75.0,101,0.9986,46.41,78.65,7.48,16.66
北京,北京市,华北,2025-07,1488,72.63,97,1.0,45.06,76.32,8.29,16.19
北京,北京市,华北,2025-08,1488,74.98,100,1.0,46.52,78.73,9.49,16.69
北京,北京市,华北,2025-09,1440,82.67,108,0.9875,51.18,86.66,8.11,18.26
北京,北京市,华北,2025-10,1488,92.76,122,0.789,57.52,97.43,9.89,20.44
北京,北京市,华北,2025-11,1440,102.59,130,0.4271,63.63,107.58,11.72,22.44
北京,北京市,华北,2025-12,1488,110.16,135,0.1411,68.26,115.67,10.31,24.07
南京,江苏省,华东,2025-01,1488,81.73,101,0.9993,50.7,85.78,9.05,18.11
南京,江苏省,华东,2025-02,1344,79.52,101,0.9985,49.3,83.45,9.85,17.64
南京,江苏省,华东,2025-03,1488,73.47,95,1.0,45.53,77.15,7.38,16.38
南京,江苏省,华东,2025-04,1440,65.41,88,1.0,40.56,68.77,7.73,14.67
南京,江苏省,华东,2025-05,1488,57.2,78,1.0,35.49,60.03,8.06,12.93
南京,江苏省,华东,2025-06,1440,51.17,73,1.0,31.7,53.7,5.59,11.7
南京,江苏省,华东,2025-07,1488,48.97,69,1.0,30.35,51.48,6.41,11.23
南京,江苏省,华东,2025-08,1488,50.83,71,1.0,31.52,53.38,7.58,11.61
南京,江苏省,华东,2025-09,1440,57.23,79,1.0,35.52,60.03,6.07,12.93
南京,江苏省,华东,2025-10,1488,65.44,87,1.0,40.56,68.69,7.74,14.69
南京,江苏省,华东,2025-11,1440,73.18,96,1.0,45.36,76.92,9.36,16.31
南京,江苏省,华东,2025-12,1488,79.59,100,1.0,49.36,83.57,7.88,17.64
南宁,广西壮族自治区,华南,2025-01,1488,54.48,71,1.0,33.78,57.19,6.86,12.39
南宁,广西壮族自治区,华南,2025-02,1344,52.52,69,1.0,32.58,55.17,7.69,11.96
南宁,广西壮族自治区,华南,2025-03,1488,47.42,66,1.0,29.4,49.79,5.3,10.91
南宁,广西壮族自治区,华南,2025-04,1440,40.78,59,1.0,25.29,42.78,5.78,9.64
南宁,广西壮族自治区,华南,2025-05,1488,33.64,52,1.0,20.84,35.33,6.2,8.49
南宁,广西壮族自治区,华南,2025-06,1440,28.58,46,1.0,17.73,30.0,3.78,7.84
南宁,广西壮族自治区,华南,2025-07,1488,26.82,44,1.0,16.63,28.19,4.63,7.61
南宁,广西壮族自治区,华南,2025-08,1488,28.43,46,1.0,17.62,29.79,5.77,7.83
南宁,广西壮族自治区,华南,2025-09,1440,33.66,52,1.0,20.86,35.41,4.18,8.48
南宁,广西壮族自治区,华南,2025-10,1488,40.64,59,1.0,25.2,42.65,5.76,9.63
南宁,广西壮族自治区,华南,2025-11,1440,47.27,66,1.0,29.33,49.65,7.29,10.86
南宁,广西壮族自治区,华南,2025-12,1488,52.7,70,1.0,32.65,55.31,5.72,12.01
南昌,江西省,华东,2025-01,1488,75.3,95,1.0,46.67,79.09,8.53,16.77
南昌,江西省,华东,2025-02,1344,73.03,94,1.0,45.27,76.7,9.34,16.26
南昌,江西省,华东,2025-03,1488,67.02,88,1.0,41.54,70.38,6.86,15.0
南昌,江西省,华东,2025-04,1440,59.07,81,1.0,36.62,62.0,7.2,13.33
南昌,江西省,华东,2025-05,1488,50.72,73,1.0,31.45,53.21,7.54,11.59
南昌,江西省,华东,2025-06,1440,44.63,64,1.0,27.67,46.88,5.08,10.34
南昌,江西省,华东,2025-07,1488,42.58,62,1.0,26.39,44.75,5.91,9.94
南昌,江西省,华东,2025-08,1488,44.48,65,1.0,27.57,46.7,7.06,10.3
南昌,江西省,华东,2025-09,1440,50.74,72,1.0,31.46,53.28,5.56,11.59
南昌,江西省,华东,2025-10,1488,58.93,81,1.0,36.55,61.84,7.21,13.3
南昌,江西省,华东,2025-11,1440,66.83,87,1.0,41.45,70.14,8.86,14.96
南昌,江西省,华东,2025-12,1488,73.2,94,1.0,45.37,76.91,7.36,16.32
厦门,福建省,华东,2025-01,1488,55.97,76,1.0,34.71,58.78,6.99,12.69
厦门,福建省,华东,2025-02,1344,53.72,74,1.0,33.27,56.45,7.78,12.2
厦门,福建省,华东,2025-03,1488,47.66,68,1.0,29.56,50.04,5.32,10.95
厦门,福建省,华东,2025-04,1440,39.71,61,1.0,24.65,41.63,5.67,9.44
厦门,福建省,华东,2025-05,1488,31.48,54,1.0,19.52,33.05,6.01,8.2
厦门,福建省,华东,2025-06,1440,25.86,46,1.0,16.02,27.2,3.54,7.46
厦门,福建省,华东,2025-07,1488,24.15,43,1.0,14.95,25.4,4.35,7.26
厦门,福建省,华东,2025-08,1488,25.65,46,1.0,15.93,26.9,5.51,7.43
厦门,福建省,华东,2025-09,1440,31.43,50,1.0,19.49,32.97,4.01,8.18
厦门,福建省,华东,2025-10,1488,39.65,61,1.0,24.6,41.62,5.67,9.45
厦门,福建省,华东,2025-11,1440,47.56,70,1.0,29.47,49.96,7.33,10.95
厦门,福建省,华东,2025-12,1488,53.86,75,1.0,33.37,56.59,5.81,12.24
合肥,安徽省,华东,2025-01,1488,78.97,99,1.0,48.97,82.9,8.8,17.53
合肥,安徽省,华东,2025-02,1344,76.67,98,1.0,47.51,80.58,9.63,17.03
合肥,安徽省,华东,2025-03,1488,70.64,93,1.0,43.82,74.14,7.16,15.77
合肥,安徽省,华东,2025-04,1440,62.82,86,1.0,38.95,65.94,7.52,14.14
合肥,安徽省,华东,2025-05,1488,54.46,75,1.0,33.75,57.19,7.85,12.38
合肥,安徽省,华东,2025-06,1440,48.25,68,1.0,29.93,50.71,5.35,11.09
合肥,安徽省,华东,2025-07,1488,46.21,66,1.0,28.66,48.48,6.19,10.67
合肥,安徽省,华东,2025-08,1488,48.14,68,1.0,29.86,50.5,7.34,11.08
合肥,安徽省,华东,2025-09,1440,54.51,77,1.0,33.75,57.29,5.85,12.4
合肥,安徽省,华东,2025-10,1488,62.64,85,1.0,38.84,65.8,7.51,14.08
合肥,安徽省,华东,2025-11,1440,70.46,94,1.0,43.73,73.91,9.15,15.7
合肥,安徽省,华东,2025-12,1488,76.87,97,1.0,47.66,80.69,7.65,17.08
呼和浩特,内蒙古自治区,华北,2025-01,1488,103.76,128,0.3569,64.36,108.92,10.79,22.7
呼和浩特,内蒙古自治区,华北,2025-02,1344,101.09,124,0.4747,62.63,106.05,11.59,22.17
呼和浩特,内蒙古自治区,华北,2025-03,1488,93.54,120,0.7661,57.98,98.25,8.99,20.58
呼和浩特,内蒙古自治区,华北,2025-04,1440,83.93,112,0.9597,52.1,88.09,9.21,18.52
呼和浩特,内蒙古自治区,华北,2025-05,1488,73.67,98,1.0,45.65,77.33,9.41,16.4
呼和浩特,内蒙古自治区,华北,2025-06,1440,65.96,91,1.0,40.87,69.41,6.78,14.79
呼和浩特,内蒙古自治区,华北,2025-07,1488,63.59,88,1.0,39.44,66.75,7.59,14.28
呼和浩特,内蒙古自治区,华北,2025-08,1488,65.95,90,1.0,40.93,69.18,8.77,14.76
呼和浩特,内蒙古自治区,华北,2025-09,1440,73.62,102,0.9986,45.56,77.34,7.4,16.43
呼和浩特,内蒙古自治区,华北,2025-10,1488,83.71,109,0.9765,51.92,87.94,9.2,18.51
呼和浩特,内蒙古自治区,华北,2025-11,1440,93.55,120,0.7674,58.02,98.08,10.97,20.54
呼和浩特,内蒙古自治区,华北,2025-12,1488,101.16,126,0.4731,62.69,106.24,9.6,22.19
哈尔滨,黑龙江省,东北,2025-01,1488,98.83,120,0.5914,61.28,103.75,10.4,21.69
哈尔滨,黑龙江省,东北,2025-02,1344,96.32,119,0.7009,59.73,101.15,11.2,21.17
哈尔滨,黑龙江省,东北,2025-03,1488,89.83,114,0.9066,55.69,94.32,8.69,19.81
哈尔滨,黑龙江省,东北,2025-04,1440,81.23,105,0.9938,50.37,85.28,8.99,17.99
哈尔滨,黑龙江省,东北,2025-05,1488,72.14,95,1.0,44.73,75.76,9.28,16.1
哈尔滨,黑龙江省,东北,2025-06,1440,65.51,88,1.0,40.59,68.81,6.74,14.69
哈尔滨,黑龙江省,东北,2025-07,1488,63.28,84,1.0,39.24,66.43,7.57,14.23
哈尔滨,黑龙江省,东北,2025-08,1488,65.29,88,1.0,40.47,68.56,8.73,14.64
哈尔滨,黑龙江省,东北,2025-09,1440,72.19,97,1.0,44.75,75.82,7.28,16.09
哈尔滨,黑龙江省,东北,2025-10,1488,81.11,107,0.9946,50.29,85.15,8.98,17.98
哈尔滨,黑龙江省,东北,2025-11,1440,89.64,113,0.9132,55.59,94.11,10.67,19.76
哈尔滨,黑龙江省,东北,2025-12,1488,96.53,120,0.6929,59.84,101.38,9.22,21.2
嘉峪关,甘肃省,西北,2025-01,1488,90.97,114,0.8938,56.4,95.52,9.77,20.04
嘉峪关,甘肃省,西北,2025-02,1344,88.35,113,0.9249,54.79,92.79,10.56,19.48
嘉峪关,甘肃省,西北,2025-03,1488,81.42,107,0.9886,50.49,85.47,8.02,18.03
嘉峪关,甘肃省,西北,2025-04,1440,72.31,94,1.0,44.83,75.91,8.29,16.11
嘉峪关,甘肃省,西北,2025-05,1488,62.72,87,1.0,38.9,65.86,8.51,14.1
嘉峪关,甘肃省,西北,2025-06,1440,55.68,81,1.0,34.51,58.49,5.95,12.63
嘉峪关,甘肃省,西北,2025-07,1488,53.28,77,1.0,33.04,55.95,6.75,12.13
嘉峪关,甘肃省,西北,2025-08,1488,55.44,79,1.0,34.37,58.19,7.92,12.58
嘉峪关,甘肃省,西北,2025-09,1440,62.71,90,1.0,38.88,65.87,6.52,14.1
嘉峪关,甘肃省,西北,2025-10,1488,72.18,99,1.0,44.75,75.78,8.28,16.09
嘉峪关,甘肃省,西北,2025-11,1440,81.27,101,0.9993,50.41,85.31,10.0,17.99
嘉峪关,甘肃省,西北,2025-12,1488,88.57,110,0.9267,54.91,93.02,8.59,19.55
大理,云南省,西南,2025-01,1488,48.86,67,1.0,30.3,51.31,6.42,11.2
大理,云南省,西南,2025-02,1344,46.74,66,1.0,28.96,49.06,7.24,10.74
大理,云南省,西南,2025-03,1488,41.15,60,1.0,25.52,43.21,4.8,9.64
大理,云南省,西南,2025-04,1440,33.73,54,1.0,20.91,35.41,5.19,8.3
大理,云南省,西南,2025-05,1488,26.32,46,1.0,16.3,27.62,5.57,7.36
大理,云南省,西南,2025-06,1440,21.93,41,1.0,13.58,23.04,3.13,6.92
大理,云南省,西南,2025-07,1488,20.77,37,1.0,12.88,21.82,4.0,6.82
大理,云南省,西南,2025-08,1488,21.83,39,1.0,13.56,22.92,5.13,6.91
大理,云南省,西南,2025-09,1440,26.29,45,1.0,16.27,27.63,3.58,7.34
大理,云南省,西南,2025-10,1488,33.65,55,1.0,20.86,35.32,5.18,8.3
大理,云南省,西南,2025-11,1440,40.98,61,1.0,25.4,43.0,6.79,9.59
大理,云南省,西南,2025-12,1488,46.88,67,1.0,29.06,49.23,5.24,10.79
大连,辽宁省,东北,2025-01,1488,70.84,93,1.0,43.93,74.38,8.17,15.82
大连,辽宁省,东北,2025-02,1344,68.35,92,1.0,42.36,71.77,8.97,15.29
大连,辽宁省,东北,2025-03,1488,61.8,85,1.0,38.31,64.91,6.44,13.91
大连,辽宁省,东北,2025-04,1440,53.23,76,1.0,33.02,55.89,6.76,12.12
大连,辽宁省,东北,2025-05,1488,44.2,68,1.0,27.42,46.38,7.03,10.33
大连,辽宁省,东北,2025-06,1440,37.51,58,1.0,23.25,39.4,4.49,9.19
大连,辽宁省,东北,2025-07,1488,35.21,57,1.0,21.82,37.0,5.3,8.82
大连,辽宁省,东北,2025-08,1488,37.35,60,1.0,23.18,39.18,6.5,9.15
大连,辽宁省,东北,2025-09,1440,44.18,69,1.0,27.39,46.42,5.04,10.31
大连,辽宁省,东北,2025-10,1488,53.08,78,1.0,32.9,55.75,6.75,12.08
大连,辽宁省,东北,2025-11,1440,61.64,86,1.0,38.23,64.7,8.43,13.87
大连,辽宁省,东北,2025-12,1488,68.55,90,1.0,42.5,71.97,7.0,15.34
天津,天津市,华北,2025-01,1488,108.27,132,0.213,67.15,113.73,11.18,23.66
天津,天津市,华北,2025-02,1344,105.55,131,0.2969,65.46,110.85,11.93,23.1
天津,天津市,华北,2025-03,1488,98.16,125,0.5988,60.87,103.05,9.37,21.53
天津,天津市,华北,2025-04,1440,88.27,115,0.9056,54.65,92.6,9.58,19.45
天津,天津市,华北,2025-05,1488,78.17,105,0.994,48.49,82.1,9.76,17.36
天津,天津市,华北,2025-06,1440,70.75,97,1.0,43.84,74.15,7.13,15.75
天津,天津市,华北,2025-07,1488,68.04,93,1.0,42.18,71.47,7.97,15.23
天津,天津市,华北,2025-08,1488,70.38,96,1.0,43.65,73.94,9.12,15.74
天津,天津市,华北,2025-09,1440,78.38,107,0.9931,48.62,82.23,7.73,17.37
天津,天津市,华北,2025-10,1488,88.21,116,0.9005,54.68,92.62,9.56,19.47
天津,天津市,华北,2025-11,1440,98.02,124,0.6139,60.87,102.98,11.39,21.52
天津,天津市,华北,2025-12,1488,105.69,130,0.3091,65.51,110.95,9.97,23.13
太原,山西省,华北,2025-01,1488,124.11,148,0.0,76.97,130.31,12.44,26.98
太原,山西省,华北,2025-02,1344,121.33,148,0.0045,75.16,127.33,13.21,26.42
太原,山西省,华北,2025-03,1488,113.88,142,0.0665,70.62,119.61,10.62,24.87
太原,山西省,华北,2025-04,1440,104.4,132,0.3382,64.74,109.48,10.84,22.82
太原,山西省,华北,2025-05,1488,93.95,121,0.7634,58.24,98.66,11.04,20.67
太原,山西省,华北,2025-06,1440,86.42,111,0.9354,53.64,90.83,8.42,19.07
太原,山西省,华北,2025-07,1488,83.94,109,0.9778,52.04,88.11,9.22,18.55
太原,山西省,华北,2025-08,1488,86.26,113,0.957,53.48,90.51,10.39,19.04
太原,山西省,华北,2025-09,1440,93.82,120,0.7743,58.15,98.67,9.0,20.66
太原,山西省,华北,2025-10,1488,104.12,128,0.3622,64.57,109.31,10.83,22.77
太原,山西省,华北,2025-11,1440,113.72,140,0.0701,70.44,119.35,12.6,24.82
太原,山西省,华北,2025-12,1488,121.48,147,0.0027,75.32,127.6,11.22,26.45
宁波,浙江省,华东,2025-01,1488,67.01,87,1.0,41.56,70.33,7.86,15.01
宁波,浙江省,华东,2025-02,1344,64.69,85,1.0,40.1,67.97,8.68,14.51
宁波,浙江省,华东,2025-03,1488,58.72,80,1.0,36.42,61.61,6.2,13.26
宁波,浙江省,华东,2025-04,1440,50.89,73,1.0,31.52,53.46,6.56,11.65
宁波,浙江省,华东,2025-05,1488,42.45,62,1.0,26.32,44.59,6.9,9.97
宁波,浙江省,华东,2025-06,1440,36.28,57,1.0,22.54,38.04,4.4,8.92
宁波,浙江省,华东,2025-07,1488,34.31,54,1.0,21.27,36.01,5.24,8.65
宁波,浙江省,华东,2025-08,1488,36.23,58,1.0,22.47,38.03,6.4,8.95
宁波,浙江省,华东,2025-09,1440,42.47,63,1.0,26.29,44.69,4.9,10.0
宁波,浙江省,华东,2025-10,1488,50.66,74,1.0,31.42,53.18,6.54,11.59
宁波,浙江省,华东,2025-11,1440,58.59,81,1.0,36.34,61.44,8.18,13.24
宁波,浙江省,华东,2025-12,1488,64.93,86,1.0,40.23,68.21,6.71,14.59
宜昌,湖北省,华中,2025-01,1488,77.34,99,1.0,47.95,81.2,8.69,17.18
宜昌,湖北省,华中,2025-02,1344,74.81,98,1.0,46.37,78.58,9.48,16.65
宜昌,湖北省,华中,2025-03,1488,68.13,93,1.0,42.25,71.53,6.95,15.25
宜昌,湖北省,华中,2025-04,1440,59.4,83,1.0,36.83,62.38,7.26,13.4
宜昌,湖北省,华中,2025-05,1488,50.13,74,1.0,31.09,52.62,7.51,11.48
宜昌,湖北省,华中,2025-06,1440,43.38,68,1.0,26.88,45.57,4.98,10.17
宜昌,湖北省,华中,2025-07,1488,41.05,63,1.0,25.46,43.09,5.78,9.74
宜昌,湖北省,华中,2025-08,1488,43.19,66,1.0,26.77,45.34,6.96,10.16
宜昌,湖北省,华中,2025-09,1440,50.13,75,1.0,31.07,52.67,5.52,11.47
宜昌,湖北省,华中,2025-10,1488,59.28,85,1.0,36.73,62.26,7.24,13.39
宜昌,湖北省,华中,2025-11,1440,67.95,92,1.0,42.15,71.32,8.94,15.18
宜昌,湖北省,华中,2025-12,1488,75.01,98,1.0,46.48,78.79,7.5,16.69
宝鸡,陕西省,西北,2025-01,1488,99.44,123,0.5504,61.66,104.42,10.46,21.83
宝鸡,陕西省,西北,2025-02,1344,96.83,119,0.6659,60.04,101.67,11.24,21.27
宝鸡,陕西省,西北,2025-03,1488,89.93,112,0.8918,55.76,94.42,8.69,19.81
宝鸡,陕西省,西北,2025-04,1440,80.8,104,0.9938,50.11,84.82,8.95,17.89
宝鸡,陕西省,西北,2025-05,1488,71.19,96,1.0,44.13,74.73,9.19,15.89
宝鸡,陕西省,西北,2025-06,1440,64.14,89,1.0,39.76,67.36,6.63,14.41
宝鸡,陕西省,西北,2025-07,1488,61.75,85,1.0,38.29,64.85,7.44,13.89
宝鸡,陕西省,西北,2025-08,1488,63.95,88,1.0,39.65,67.12,8.62,14.36
宝鸡,陕西省,西北,2025-09,1440,71.2,96,1.0,44.12,74.78,7.2,15.88
宝鸡,陕西省,西北,2025-10,1488,80.66,104,0.9953,50.0,84.69,8.95,17.87
宝鸡,陕西省,西北,2025-11,1440,89.71,116,0.891,55.65,94.17,10.67,19.78
宝鸡,陕西省,西北,2025-12,1488,97.03,121,0.6579,60.16,101.92,9.26,21.32
常州,江苏省,华东,2025-01,1488,76.22,96,1.0,47.26,80.05,8.6,16.91
常州,江苏省,华东,2025-02,1344,73.91,95,1.0,45.81,77.61,9.41,16.44
常州,江苏省,华东,2025-03,1488,67.89,90,1.0,42.09,71.27,6.94,15.19
常州,江苏省,华东,2025-04,1440,59.99,83,1.0,37.19,63.0,7.3,13.52
常州,江苏省,华东,2025-05,1488,51.71,74,1.0,32.04,54.28,7.63,11.8
常州,江苏省,华东,2025-06,1440,45.53,67,1.0,28.24,47.82,5.15,10.51
常州,江苏省,华东,2025-07,1488,43.47,64,1.0,26.94,45.67,5.99,10.08
常州,江苏省,华东,2025-08,1488,45.38,66,1.0,28.15,47.6,7.14,10.48
常州,江苏省,华东,2025-09,1440,51.66,73,1.0,32.02,54.28,5.63,11.79
常州,江苏省,华东,2025-10,1488,59.91,83,1.0,37.15,62.93,7.29,13.51
常州,江苏省,华东,2025-11,1440,67.75,91,1.0,42.03,71.09,8.93,15.15
常州,江苏省,华东,2025-12,1488,74.06,95,1.0,45.9,77.78,7.42,16.48
广州,广东省,华南,2025-01,1488,56.04,73,1.0,34.72,58.83,6.98,12.69
广州,广东省,华南,2025-02,1344,54.09,72,1.0,33.54,56.79,7.83,12.3
广州,广东省,华南,2025-03,1488,49.02,67,1.0,30.41,51.43,5.41,11.23
广州,广东省,华南,2025-04,1440,42.3,60,1.0,26.23,44.41,5.9,9.85
广州,广东省,华南,2025-05,1488,35.22,53,1.0,21.84,36.97,6.31,8.56
广州,广东省,华南,2025-06,1440,30.07,49,1.0,18.63,31.6,3.9,7.78
广州,广东省,华南,2025-07,1488,28.3,45,1.0,17.56,29.74,4.76,7.56
广州,广东省,华南,2025-08,1488,29.93,48,1.0,18.55,31.44,5.88,7.77
广州,广东省,华南,2025-09,1440,35.23,55,1.0,21.83,37.01,4.31,8.55
广州,广东省,华南,2025-10,1488,42.23,60,1.0,26.17,44.33,5.89,9.83
广州,广东省,华南,2025-11,1440,48.82,68,1.0,30.28,51.26,7.4,11.19
广州,广东省,华南,2025-12,1488,54.27,72,1.0,33.63,56.96,5.84,12.33
惠州,广东省,华南,2025-01,1488,52.12,68,1.0,32.32,54.72,6.67,11.88
惠州,广东省,华南,2025-02,1344,50.2,68,1.0,31.13,52.69,7.52,11.49
惠州,广东省,华南,2025-03,1488,45.1,64,1.0,27.96,47.35,5.13,10.4
惠州,广东省,华南,2025-04,1440,38.4,58,1.0,23.8,40.32,5.58,9.02
惠州,广东省,华南,2025-05,1488,31.34,50,1.0,19.43,32.91,6.0,7.82
惠州,广东省,华南,2025-06,1440,26.35,45,1.0,16.33,27.66,3.59,7.19
惠州,广东省,华南,2025-07,1488,24.76,41,1.0,15.35,26.02,4.46,7.05
惠州,广东省,华南,2025-08,1488,26.2,44,1.0,16.26,27.47,5.58,7.19
